locus,genome
5G21990,B764
5G22030,B764
5G22260,B764
5G22330,B764
5G22350,B764
5G22450,B764
5G22510,B764
5G22750,B764
5G22800,B764
5G22850,B764
5G23050,B764
5G23060,B764
5G23110,B764
5G23300,B764
5G23340,B764
5G23880,B764
5G24240,B764
5G24810,B764
5G25230,B764
5G26570,B764
5G26820,B764
5G27970,B764
5G30510,B764
5G35410,B764
5G35460,B764
5G35560,B764
5G36880,B764
5G36890,B764
5G37830,B764
5G38530,B764
5G39040,B764
5G39500,B764
5G39710,B764
5G39830,B764
5G40405,B764
5G40440,B764
5G40480,B764
5G40740,B764
5G40820,B764
5G41800,B764
5G43920,B764
5G44000,B764
5G44240,B764
5G44370,B764
5G45780,B764
5G45900,B764
5G46070,B764
5G46100,B764
5G46180,B764
5G46220,B764
5G46580,B764
5G47010,B764
5G47040,B764
5G47690,B764
5G47780,B764
5G48270,B764
5G48385,B764
5G48470,B764
5G48520,B764
5G48600,B764
5G48800,B764
5G49030,B764
5G49070,B764
5G49430,B764
5G49810,B764
5G49830,B764
5G49890,B764
5G50160,B764
5G50170,B764
5G50210,B764
5G50320,B764
5G51070,B764
5G51150,B764
5G51200,B764
5G51340,B764
5G51540,B764
5G51690,B764
5G51750,B764
5G51830,B764
5G51970,B764
5G52280,B764
5G52580,B764
5G52850,B764
5G53000,B764
5G53320,B764
5G53480,B764
5G53580,B764
5G53920,B764
5G53970,B764
5G54080,B764
5G54180,B764
5G54260,B764
5G54570,B764
5G54690,B764
5G54830,B764
5G55250,B764
5G55540,B764
5G55960,B764
5G56220,B764
5G56290,B764
5G56580,B764
5G56730,B764
5G57800,B764
5G58020,B764
5G58230,B764
5G58330,B764
5G58410,B764
5G58430,B764
5G58470,B764
5G58480,B764
5G58510,B764
5G58600,B764
5G58750,B764
5G58940,B764
5G59900,B764
5G60020,B764
5G60450,B764
5G60570,B764
5G60600,B764
5G60750,B764
5G60790,B764
5G60980,B764
5G61400,B764
5G61560,B764
5G61770,B764
5G61865,B764
5G62130,B764
5G62310,B764
5G62370,B764
5G63010,B764
5G63050,B764
5G63410,B764
5G63420,B764
5G63640,B764
5G63770,B764
5G63840,B764
5G63860,B764
5G63920,B764
5G64050,B764
5G64270,B764
5G64370,B764
5G65500,B764
5G65950,B764
5G65990,B764
5G66680,B764
5G66960,B764
5G67430,B764
5G67530,B764
6000,A353
6003,A353
6004,A353
6016,A353
6026,A353
6029,A353
6034,A353
6036,A353
6038,A353
6041,A353
6048,A353
6050,A353
6051,A353
6056,A353
6064,A353
6068,A353
6072,A353
6098,A353
6110,A353
6114,A353
6119,A353
6128,A353
6130,A353
6139,A353
6148,A353
6150,A353
6164,A353
6175,A353
6176,A353
6198,A353
6216,A353
6221,A353
6226,A353
6227,A353
6238,A353
6258,A353
6265,A353
6270,A353
6274,A353
6282,A353
6284,A353
6295,A353
6298,A353
6299,A353
6303,A353
6318,A353
6320,A353
6363,A353
6366,A353
6373,A353
6376,A353
6378,A353
6379,A353
6383,A353
6384,A353
6387,A353
6389,A353
6393,A353
6398,A353
6401,A353
6404,A353
6405,A353
6406,A353
6407,A353
6412,A353
6420,A353
6430,A353
6432,A353
6439,A353
6447,A353
6448,A353
6449,A353
6450,A353
6454,A353
6457,A353
6458,A353
6459,A353
6460,A353
6462,A353
6483,A353
6487,A353
6488,A353
6492,A353
6494,A353
6496,A353
6498,A353
6500,A353
6506,A353
6507,A353
6514,A353
6526,A353
6527,A353
6528,A353
6531,A353
6532,A353
6533,A353
6538,A353
6540,A353
6544,A353
6550,A353
6552,A353
6557,A353
6559,A353
6563,A353
6565,A353
6570,A353
6572,A353
6601,A353
6620,A353
6631,A353
6636,A353
6639,A353
6641,A353
6649,A353
6652,A353
6660,A353
6667,A353
6679,A353
6685,A353
6689,A353
6705,A353
6713,A353
6717,A353
6732,A353
6733,A353
6738,A353
6746,A353
6779,A353
6780,A353
6782,A353
6785,A353
6791,A353
6792,A353
6797,A353
6825,A353
6848,A353
6854,A353
6859,A353
6860,A353
6864,A353
6865,A353
6875,A353
6882,A353
6883,A353
6886,A353
6893,A353
6909,A353
6913,A353
6914,A353
6924,A353
6933,A353
6946,A353
6947,A353
6954,A353
6955,A353
6958,A353
6961,A353
6962,A353
6968,A353
6969,A353
6977,A353
6978,A353
6979,A353
6992,A353
6995,A353
7013,A353
7021,A353
7024,A353
7028,A353
7029,A353
7067,A353
7111,A353
7128,A353
7135,A353
7136,A353
7141,A353
7174,A353
7194,A353
7241,A353
7273,A353
7279,A353
7296,A353
7313,A353
7324,A353
7325,A353
7331,A353
7333,A353
7336,A353
7361,A353
7363,A353
7367,A353
7371,A353
7572,A353
7577,A353
7583,A353
7602,A353
7628,A353
