Sample_ID,HybSeq_ID
S4181,S4181
S4182,S4182
S4183,S4183
S4184,S4184
S4185,S4185
S4186,S4186
S4187,S4187
S4188,S4188
S4189,S4189
S4190,S4190
S4191,S4191
S4192,S4192
S4193,S4193
S4194,S4194
S4195,S4195
S4196,S4196
S4197,S4197
S4198,S4198
S4199,S4199
S4200,S4200
S4201,S4201
S4202,S4202
S4203,S4203
S4204,S4204
S4205,S4205
S4206,S4206
S4207,S4207
S4208,S4208
S4209,S4209
S4210,S4210
S4211,S4211
S4212,S4212
S4213,S4213
S4214,S4214
S4215,S4215
S4216,S4216
S4217,S4217
S4218,S4218
S4219,S4219
S4220,S4220
S4221,S4221
S4222,S4222
S4223,S4223
S4224,S4224
S4225,S4225
S4226,S4226
S4227,S4227
S4228,S4228
S4229,S4229
S4230,S4230
S4231,S4231
S4232,S4232
S4233,S4233
S4234,S4234
S4235,S4235
S4236,S4236
S4237,S4237
S4238,S4238
S4239,S4239
S4240,S4240
S4241,S4241
S4242,S4242
S4243,S4243
S4244,S4244
S4245,S4245
S4246,S4246
S4247,S4247
S4248,S4248
S4249,S4249
S4250,S4250
S4251,S4251
S4252,S4252
S4253,S4253
S4254,S4254
S4255,S4255
S4256,S4256
S4257,S4257
S4258,S4258
S4259,S4259
S4260,S4260
S4261,S4261
S4262,S4262
S4263,S4263
S4264,S4264
S4265,S4265
S4266,S4266
S4267,S4267
S4268,S4268
S4269,S4269
S4270,S4270
S4271,S4271
S4272,S4272
S4273,S4273
S4274,S4274
S4275,S4275
S4276,S4276
S4277,S4277
S4278,S4278
S4279,S4279
S4280,S4280
S4281,S4281
S4282,S4282
S4283,S4283
S4284,S4284
S4285,S4285
S4286,S4286
S4287,S4287
S4288,S4288
S4289,S4289
S4290,S4290
S4291,S4291
S4292,S4292
S4293,S4293
S4294,S4294
S4295,S4295
S4296,S4296
S4297,S4297
S4298,S4298
S4299,S4299
S4300,S4300
S4301,S4301
S4302,S4302
S4303,S4303
S4304,S4304
S4305,S4305
S4306,S4306
S4307,S4307
S4308,S4308
S4309,S4309
S4310,S4310
S4311,S4311
S4312,S4312
S4313,S4313
S4314,S4314
S4315,S4315
S4316,S4316
S4317,S4317
S4318,S4318
S4319,S4319
S4320,S4320
S4321,S4321
S4322,S4322
S4323,S4323
S4324,S4324
S4325,S4325
S4326,S4326
S4327,S4327
S4328,S4328
S4329,S4329
S4330,S4330
S4331,S4331
S4332,S4332
S4333,S4333
S4334,S4334
S4335,S4335
S4336,S4336
S4337,S4337
S4338,S4338
S4339,S4339
S4340,S4340
S4341,S4341
S4342,S4342
S4343,S4343
S4344,S4344
S4345,S4345
S4346,S4346
S4347,S4347
S4348,S4348
S4349,S4349
S4350,S4350
S4351,S4351
S4352,S4352
S4353,S4353
S4354,S4354
S4355,S4355
S4356,S4356
S4357,S4357
S4358,S4358
S4359,S4359
S4360,S4360
S4361,S4361
S4362,S4362
S4363,S4363
S4364,S4364
S4365,S4365
S4366,S4366
S4367,S4367
S4368,S4368
S4369,S4369
S4370,S4370
S4371,S4371
S4372,S4372
S4373,S4373
S4374,S4374
S4375,S4375
S4376,S4376
S4377,S4377
S4378,S4378
S4379,S4379
S4380,S4380
S4381,S4381
S4382,S4382
S4383,S4383
S4384,S4384
S4385,S4385
S4386,S4386
S4387,S4387
S4388,S4388
S4389,S4389
S4390,S4390
S4391,S4391
S4392,S4392
S4393,S4393
S4394,S4394
S4395,S4395
S4396,S4396
S4397,S4397
S4398,S4398
S4399,S4399
S4400,S4400
S4401,S4401
S4402,S4402
S4403,S4403
S4404,S4404
S4405,S4405
S4406,S4406
S4407,S4407
S4408,S4408
S4409,S4409
S4410,S4410
S4411,S4411
S4412,S4412
6896_A,6896_A
6896_AA,6896_AA
6896_AB,6896_AB
6896_AC,6896_AC
6896_AD,6896_AD
6896_AE,6896_AE
6896_AF,6896_AF
6896_AG,6896_AG
6896_AH,6896_AH
6896_AI,6896_AI
6896_AJ,6896_AJ
6896_AK,6896_AK
6896_AL,6896_AL
6896_AM,6896_AM
6896_AN,6896_AN
6896_AO,6896_AO
6896_AP,6896_AP
6896_AQ,6896_AQ
6896_AR,6896_AR
6896_AS,6896_AS
6896_AT,6896_AT
6896_AU,6896_AU
6896_AV,6896_AV
6896_AW,6896_AW
6896_AX,6896_AX
6896_AY,6896_AY
6896_AZ,6896_AZ
6896_B,6896_B
6896_BA,6896_BA
6896_BB,6896_BB
6896_BC,6896_BC
6896_BD,6896_BD
6896_BE,6896_BE
6896_C,6896_C
6896_D,6896_D
6896_E,6896_E
6896_F,6896_F
6896_G,6896_G
6896_H,6896_H
6896_I,6896_I
6896_J,6896_J
6896_K,6896_K
6896_L,6896_L
6896_M,6896_M
6896_N,6896_N
6896_O,6896_O
6896_P,6896_P
6896_Q,6896_Q
6896_R,6896_R
6896_S,6896_S
6896_T,6896_T
6896_U,6896_U
6896_V,6896_V
6896_W,6896_W
6896_X,6896_X
6896_Y,6896_Y
6896_Z,6896_Z
24P84,24P84
24P85,24P85
24P86,24P86
24P87,24P87
24P88,24P88
24P89,24P89
24P90,24P90
24P91,24P91
24P92,24P92
24P93,24P93
24P94,24P94
24P95,24P95
LaiQ176P4,LaiQ176P4
LaiQ192P2,LaiQ192P2
LaiQ184P1,LaiQ184P1
23Q01,23Q01
23Q02,23Q02
23Q03,23Q03
23Q04,23Q04
23Q05,23Q05
23Q06,23Q06
23Q07,23Q07
23Q08,23Q08
23Q09,23Q09
23Q10,23Q10
23Q11,23Q11
23Q12,23Q12
23Q13,23Q13
23Q14,23Q14
23Q15,23Q15
23Q16,23Q16
23Q17,23Q17
23Q18,23Q18
23Q19,23Q19
23Q20,23Q20
23Q21,23Q21
23Q22,23Q22
23Q23,23Q23
23Q24,23Q24
23Q25,23Q25
23Q26,23Q26
23Q27,23Q27
23Q28,23Q28
23Q29,23Q29
23Q30,23Q30
23Q31,23Q31
23Q32,23Q32
23Q33,23Q33
23Q34,23Q34
23Q35,23Q35
23Q36,23Q36
23Q37,23Q37
23Q38,23Q38
23Q39,23Q39
23Q40,23Q40
23Q41,23Q41
23Q42,23Q42
23Q43,23Q43
23Q44,23Q44
23Q45,23Q45
23Q46,23Q46
23Q47,23Q47
23Q48,23Q48
23Q49,23Q49
23Q50,23Q50
23Q51,23Q51
23Q52,23Q52
23Q53,23Q53
23Q54,23Q54
23Q55,23Q55
23Q56,23Q56
23Q57,23Q57
23Q58,23Q58
23Q59,23Q59
23Q60,23Q60
23Q61,23Q61
23Q62,23Q62
23Q63,23Q63
23Q64,23Q64
23Q65,23Q65
23Q66,23Q66
23Q67,23Q67
23Q69,23Q69
23Q70,23Q70
23Q71,23Q71
23Q72,23Q72
23Q73,23Q73
23Q74,23Q74
23Q75,23Q75
23Q76,23Q76
23Q77,23Q77
23Q78,23Q78
23Q79,23Q79
23Q80,23Q80
23Q82,23Q82
23Q83,23Q83
23Q84,23Q84
23Q85,23Q85
23Q86,23Q86
23Q87,23Q87
23Q88,23Q88
23Q89,23Q89
23Q90,23Q90
23Q92,23Q92
23Q93,23Q93
23Q94,23Q94
23Q95,23Q95
23Q96,23Q96
