Sample_ID,HybSeq_ID
23R01,23R01
23R02,23R02
23R03,23R03
23R04,23R04
23R05,23R05
23R06,23R06
23R07,23R07
23R08,23R08
23R09,23R09
23R10,23R10
23R11,23R11
23R12,23R12
23R13,23R13
23R14,23R14
23R15,23R15
23R16,23R16
23R17,23R17
23R18,23R18
23R19,23R19
23R20,23R20
23R21,23R21
23R22,23R22
23R23,23R23
23R24,23R24
23R25,23R25
23R26,23R26
23R27,23R27
23R28,23R28
23R29,23R29
23R30,23R30
23R31,23R31
23R32,23R32
23R33,23R33
23R34,23R34
23R35,23R35
23R36,23R36
23R37,23R37
23R38,23R38
23R39,23R39
23R40,23R40
23R41,23R41
23R42,23R42
23R43,23R43
23R44,23R44
23R45,23R45
23R46,23R46
23R47,23R47
23R48,23R48
23R49,23R49
23R50,23R50
23R51,23R51
23R52,23R52
23R53,23R53
23R54,23R54
23R55,23R55
23R56,23R56
23R57,23R57
23R58,23R58
23R59,23R59
23R60,23R60
23R61,23R61
23R62,23R62
23R63,23R63
23R64,23R64
23R65,23R65
CR1002,CR1002
CR1003,CR1003
CR1033,CR1033
CR1124,CR1124
CR1296,CR1296
CR1298,CR1298
CR1323,CR1323
FW1030,FW1030
FW1036,FW1036
FW1139,FW1139
FW1150,FW1150
FW1192,FW1192
FW1254,FW1254
FW1266,FW1266
FW1354,FW1354
FW140,FW140
FW1416,FW1416
FW146,FW146
FW1702,FW1702
FW1765,FW1765
FW284,FW284
FW424,FW424
FW443,FW443
FW461,FW461
FW562,FW562
FW616,FW616
FW73,FW73
FW732,FW732
FW757,FW757
FW764,FW764
FW943,FW943
HayS1619,HayS1619
MURBECK_025,MURBECK_025
MURBECK_055,MURBECK_055L1
MURBECK_055,MURBECK_055L4
MURBECK_001,MURBECK_001
MURBECK_002,MURBECK_002
MURBECK_003,MURBECK_003
MURBECK_004,MURBECK_004
MURBECK_005,MURBECK_005
MURBECK_006,MURBECK_006
MURBECK_007,MURBECK_007
MURBECK_008,MURBECK_008
MURBECK_009,MURBECK_009
MURBECK_010,MURBECK_010
MURBECK_011,MURBECK_011
MURBECK_012,MURBECK_012
MURBECK_013,MURBECK_013
MURBECK_014,MURBECK_014
MURBECK_015,MURBECK_015
MURBECK_016,MURBECK_016
MURBECK_017,MURBECK_017
MURBECK_018,MURBECK_018
MURBECK_019,MURBECK_019
MURBECK_020,MURBECK_020
MURBECK_021,MURBECK_021
MURBECK_022,MURBECK_022
MURBECK_024,MURBECK_024
MURBECK_026,MURBECK_026
MURBECK_027,MURBECK_027
MURBECK_028,MURBECK_028
MURBECK_029,MURBECK_029
MURBECK_030,MURBECK_030
MURBECK_032,MURBECK_032
MURBECK_043,MURBECK_043
MURBECK_045,MURBECK_045
MURBECK_046,MURBECK_046
MURBECK_047,MURBECK_047
MURBECK_048,MURBECK_048
MURBECK_049,MURBECK_049
MURBECK_050,MURBECK_050
MURBECK_051,MURBECK_051
MURBECK_052,MURBECK_052
MURBECK_053,MURBECK_053
MURBECK_054,MURBECK_054L1
MURBECK_054,MURBECK_054L4
OREOPHYT_001,OREOPHYT_001
S1547,S1547
HEID400803,HEID400803_H2J77DSX3
HEID400803,HEID400803_H2J7JDSX3
HEID400812,HEID400812_H2J77DSX3
HEID400812,HEID400812_HG7THDSX3
HEID400861,HEID400861_H2J7CDSX3
HEID400861,HEID400861_H2J7JDSX3
HEID401915,HEID401915_H2YKNDSX5
HEID401915,HEID401915_HCK2KDSX5
HEID402662,HEID402662_H2J77DSX3
HEID402662,HEID402662_H2J7JDSX3
HEID402743,HEID402743_H2J77DSX3
HEID402743,HEID402743_H2J7JDSX3
HEID404442,HEID404442_H5GL7DSX5
HEID404442,HEID404442_HCHMYDSX5
HEID405846,HEID405846_H2J77DSX3
HEID405846,HEID405846_HG7THDSX3
HEID408979,HEID408979_H32JJDSX5
HEID408979,HEID408979_HCK2KDSX5
HEID410066,HEID410066_H2J77DSX3
HEID410066,HEID410066_HG7THDSX3
HEID410287,HEID410287_H2J7CDSX3
HEID410287,HEID410287_H2J7JDSX3
HEID410424,HEID410424_H2J7CDSX3
HEID410424,HEID410424_H2J7JDSX3
HEID410424,HEID410424_H5CK7DSX5
HEID410424,HEID410424_HCHMYDSX5
HEID410425,HEID410425_H2J77DSX3
HEID410425,HEID410425_H2J7JDSX3
HEID500003,HEID500003_H5CK7DSX5
HEID500025,HEID500025_H5GL7DSX5
HEID500025,HEID500025_HCHMYDSX5
HEID500027,HEID500027_H5CK7DSX5
HEID500028,HEID500028_H5CK7DSX5
HEID500028,HEID500028_HCHMYDSX5
HEID500029,HEID500029_H5GJJDSX5
HEID500035,HEID500035_H5GJJDSX5
HEID500361,HEID500361_H2J77DSX3
HEID500361,HEID500361_HG7THDSX3
HEID500619,HEID500619_H5GJJDSX5
HEID500619,HEID500619_HCHMYDSX5
HEID500957,HEID500957_H5GL7DSX5
HEID500957,HEID500957_HCHMYDSX5
HEID501009,HEID501009_H2J77DSX3
HEID501009,HEID501009_H2J7JDSX3
HEID501367,HEID501367_H2J77DSX3
HEID501367,HEID501367_HG7THDSX3
HEID501394,HEID501394_H2J77DSX3
HEID501394,HEID501394_H2J7JDSX3
HEID501419,HEID501419_H2J77DSX3
HEID501419,HEID501419_H2J7JDSX3
HEID501437,HEID501437_H2J7CDSX3
HEID501437,HEID501437_H2J7JDSX3
HEID501441,HEID501441_H2J77DSX3
HEID501441,HEID501441_H2J7JDSX3
HEID501448,HEID501448_H2J77DSX3
HEID501448,HEID501448_H2J7JDSX3
HEID501601,HEID501601_H2J77DSX3
HEID501601,HEID501601_H2J7JDSX3
HEID501605,HEID501605_H2J77DSX3
HEID501605,HEID501605_HG7THDSX3
HEID502724,HEID502724_H2J77DSX3
HEID502724,HEID502724_H2J7JDSX3
HEID502794,HEID502794_H5GL7DSX5
HEID502794,HEID502794_HCHMYDSX5
HEID502828,HEID502828_H5GL7DSX5
HEID502828,HEID502828_HCHMYDSX5
HEID502831,HEID502831_H5GL7DSX5
HEID502831,HEID502831_HCHMYDSX5
HEID502832,HEID502832_H5GJJDSX5
HEID502863,HEID502863_H5GJJDSX5
HEID502863,HEID502863_HCHMYDSX5
HEID502973,HEID502973_H2J7CDSX3
HEID502973,HEID502973_H2J7JDSX3
HEID502992,HEID502992_H2J77DSX3
HEID502992,HEID502992_HG7THDSX3
HEID503129,HEID503129_H5GJJDSX5
HEID503129,HEID503129_HCHMYDSX5
HEID503376,HEID503376_H2J77DSX3
HEID503376,HEID503376_H2J7JDSX3
HEID504021,HEID504021_H2YKNDSX5
HEID504021,HEID504021_HCK2KDSX5
HEID504118,HEID504118_H5CK7DSX5
HEID504190,HEID504190_H2J77DSX3
HEID504190,HEID504190_H2J7JDSX3
HEID504191,HEID504191_H2J77DSX3
HEID504191,HEID504191_H2J7JDSX3
HEID504192,HEID504192_H2J77DSX3
HEID504192,HEID504192_H2J7JDSX3
HEID504398,HEID504398_H5GL7DSX5
HEID504398,HEID504398_HCHMYDSX5
HEID504402,HEID504402_H5GL7DSX5
HEID504402,HEID504402_HCHMYDSX5
HEID504403,HEID504403_H5CK7DSX5
HEID504403,HEID504403_HCHMYDSX5
HEID504407,HEID504407_H32JJDSX5
HEID504407,HEID504407_HCK2KDSX5
HEID504408,HEID504408_H5CK7DSX5
HEID504420,HEID504420_H32JJDSX5
HEID504420,HEID504420_HCK2KDSX5
HEID504534,HEID504534_H2J7CDSX3
HEID504534,HEID504534_H2J7JDSX3
HEID504563,HEID504563_H5GJJDSX5
HEID504563,HEID504563_HCHMYDSX5
HEID504567,HEID504567_H5GL7DSX5
HEID504567,HEID504567_HCHMYDSX5
HEID504568,HEID504568_H5GL7DSX5
HEID504568,HEID504568_HCHMYDSX5
HEID504660,HEID504660_H2J77DSX3
HEID504660,HEID504660_H2J7JDSX3
HEID504668,HEID504668_H2J77DSX3
HEID504668,HEID504668_H2J7JDSX3
HEID504669,HEID504669_H2J77DSX3
HEID504669,HEID504669_H2J7JDSX3
HEID504676,HEID504676_H2J7CDSX3
HEID504676,HEID504676_H2J7JDSX3
HEID504745,HEID504745_H2J77DSX3
HEID504745,HEID504745_H5CK7DSX5
HEID504745,HEID504745_HCHMYDSX5
HEID504881,HEID504881_H2J77DSX3
HEID504881,HEID504881_H2J7JDSX3
HEID504984,HEID504984_H2J7CDSX3
HEID504984,HEID504984_H2J7JDSX3
HEID504984,HEID504984_H5CK7DSX5
HEID504984,HEID504984_HCHMYDSX5
HEID504987,HEID504987_H2J77DSX3
HEID504987,HEID504987_HG7THDSX3
HEID505117,HEID505117_H2J77DSX3
HEID505117,HEID505117_H2J7JDSX3
HEID505118,HEID505118_H2J77DSX3
HEID505118,HEID505118_H2J7JDSX3
HEID505242,HEID505242_H2J7CDSX3
HEID505242,HEID505242_H2J7JDSX3
HEID505429,HEID505429_H5GJJDSX5
HEID505446,HEID505446_H2J77DSX3
HEID505446,HEID505446_HG7THDSX3
HEID505557,HEID505557_H2J77DSX3
HEID505557,HEID505557_HG7THDSX3
HEID505644,HEID505644_H2J77DSX3
HEID505644,HEID505644_H2J7JDSX3
HEID505645,HEID505645_H2J77DSX3
HEID505645,HEID505645_H2J7JDSX3
HEID505738,HEID505738_H2J7CDSX3
HEID505738,HEID505738_H2J7JDSX3
HEID505761,HEID505761_H2J77DSX3
HEID505761,HEID505761_HG7THDSX3
HEID700481,HEID700481_H5CK7DSX5
HEID700481,HEID700481_HCHMYDSX5
HEID712283,HEID712283_H5GL7DSX5
HEID712283,HEID712283_HCHMYDSX5
HEID784061,HEID784061_H5GJJDSX5
HEID8000070,HEID8000070_H2J77DSX3
HEID8000070,HEID8000070_HG7THDSX3
HEID8000142,HEID8000142_H2J7CDSX3
HEID8000142,HEID8000142_H2J7JDSX3
HEID8000146,HEID8000146_H2J77DSX3
HEID8000146,HEID8000146_H2J7JDSX3
HEID8000499,HEID8000499_H2J77DSX3
HEID8000499,HEID8000499_H2J7JDSX3
HEID8000504,HEID8000504_H2J7CDSX3
HEID8000504,HEID8000504_H2J7JDSX3
HEID8000506,HEID8000506_H2J77DSX3
HEID8000506,HEID8000506_H2J7JDSX3
HEID8000518,HEID8000518_H2J77DSX3
HEID8000518,HEID8000518_H2J7JDSX3
HEID8000522,HEID8000522_H2J77DSX3
HEID8000522,HEID8000522_HG7THDSX3
HEID8000525,HEID8000525_H2J77DSX3
HEID8000525,HEID8000525_HG7THDSX3
HEID8000538,HEID8000538_H2J77DSX3
HEID8000538,HEID8000538_H2J7JDSX3
HEID8000549,HEID8000549_H2J77DSX3
HEID8000549,HEID8000549_HG7THDSX3
HEID8000558,HEID8000558_H2J7CDSX3
HEID8000558,HEID8000558_H2J7JDSX3
HEID8000563,HEID8000563_H2J77DSX3
HEID8000563,HEID8000563_H2J7JDSX3
HEID8000565,HEID8000565_H2J77DSX3
HEID8000565,HEID8000565_HG7THDSX3
HEID8000568,HEID8000568_H2J77DSX3
HEID8000568,HEID8000568_HG7THDSX3
HEID8000605,HEID8000605_H2J7CDSX3
HEID8000605,HEID8000605_H2J7JDSX3
HEID8000610,HEID8000610_H2J7CDSX3
HEID8000610,HEID8000610_H2J7JDSX3
HEID8000610,HEID8000610_H5CK7DSX5
HEID8000610,HEID8000610_HCHMYDSX5
HEID8000613,HEID8000613_H2J7CDSX3
HEID8000613,HEID8000613_H2J7JDSX3
HEID8000624,HEID8000624_H2J7CDSX3
HEID8000624,HEID8000624_H2J7JDSX3
HEID8000693,HEID8000693_H2J77DSX3
HEID8000693,HEID8000693_H2J7JDSX3
HEID8000699,HEID8000699_H2J77DSX3
HEID8000699,HEID8000699_H2J7JDSX3
HEID8000704,HEID8000704_H2J77DSX3
HEID8000704,HEID8000704_H2J7JDSX3
HEID8000713,HEID8000713_H2J77DSX3
HEID8000713,HEID8000713_H2J7JDSX3
HEID8000714,HEID8000714_H2J7CDSX3
HEID8000714,HEID8000714_H2J7JDSX3
HEID8000714,HEID8000714_H5CK7DSX5
HEID8000714,HEID8000714_HCHMYDSX5
HEID8000728,HEID8000728_H2J77DSX3
HEID8000728,HEID8000728_H2J7JDSX3
HEID8000732,HEID8000732_H2J77DSX3
HEID8000732,HEID8000732_HG7THDSX3
HEID8000736,HEID8000736_H2J77DSX3
HEID8000736,HEID8000736_H2J7JDSX3
HEID8000744,HEID8000744_H2J77DSX3
HEID8000744,HEID8000744_H2J7JDSX3
HEID8000752,HEID8000752_H2J7CDSX3
HEID8000752,HEID8000752_H2J7JDSX3
HEID8000769,HEID8000769_H2J77DSX3
HEID8000769,HEID8000769_H2J7JDSX3
HEID8000785,HEID8000785_H2J7CDSX3
HEID8000785,HEID8000785_H2J7JDSX3
HEID8000811,HEID8000811_H2J7CDSX3
HEID8000811,HEID8000811_H2J7JDSX3
HEID8000822,HEID8000822_H2J77DSX3
HEID8000822,HEID8000822_HG7THDSX3
HEID8000823,HEID8000823_H2J77DSX3
HEID8000823,HEID8000823_H2J7JDSX3
HEID8000829,HEID8000829_H2J7CDSX3
HEID8000829,HEID8000829_H2J7JDSX3
HEID8000831,HEID8000831_H2J77DSX3
HEID8000831,HEID8000831_H2J7JDSX3
HEID8000833,HEID8000833_H2J77DSX3
HEID8000833,HEID8000833_H2J7JDSX3
HEID8000852,HEID8000852_H2J7CDSX3
HEID8000852,HEID8000852_H2J7JDSX3
HEID8000858,HEID8000858_H2J77DSX3
HEID8000858,HEID8000858_H2J7JDSX3
HEID8000879,HEID8000879_H2J77DSX3
HEID8000879,HEID8000879_HG7THDSX3
HEID8000913,HEID8000913_H2J7CDSX3
HEID8000913,HEID8000913_H2J7JDSX3
HEID8001063,HEID8001063_H2J7CDSX3
HEID8001063,HEID8001063_H2J7JDSX3
HEID8002343,HEID8002343_H2J77DSX3
HEID8002343,HEID8002343_HG7THDSX3
HEID8002960,HEID8002960_H2J77DSX3
HEID8002960,HEID8002960_HG7THDSX3
HEID8002968,HEID8002968_H2J7CDSX3
HEID8002968,HEID8002968_H2J7JDSX3
HEID8002997,HEID8002997_H5GL7DSX5
HEID8002997,HEID8002997_HCHMYDSX5
HEID8003067,HEID8003067_H2J77DSX3
HEID8003067,HEID8003067_HG7THDSX3
HEID8003102,HEID8003102_H5CK7DSX5
HEID8003104,HEID8003104_H5GL7DSX5
HEID8003104,HEID8003104_HCHMYDSX5
HEID8003105,HEID8003105_H5GJJDSX5
HEID8003105,HEID8003105_HCHMYDSX5
HEID8003115,HEID8003115_H5GJJDSX5
HEID8003120,HEID8003120_H5GL7DSX5
HEID8003120,HEID8003120_HCHMYDSX5
HEID8003122,HEID8003122_H2YKNDSX5
HEID8003122,HEID8003122_HCK2KDSX5
HEID8003126,HEID8003126_H5GL7DSX5
HEID8003126,HEID8003126_HCHMYDSX5
HEID8003133,HEID8003133_H5GJJDSX5
HEID8003137,HEID8003137_H5GL7DSX5
HEID8003137,HEID8003137_HCHMYDSX5
HEID8003143,HEID8003143_H5GL7DSX5
HEID8003143,HEID8003143_HCHMYDSX5
HEID8003146,HEID8003146_H5CK7DSX5
HEID8003150,HEID8003150_H5GJJDSX5
HEID8003150,HEID8003150_HCHMYDSX5
HEID8003157,HEID8003157_H5CK7DSX5
HEID8003171,HEID8003171_H32JJDSX5
HEID8003171,HEID8003171_HCK2KDSX5
HEID8003172,HEID8003172_H32JJDSX5
HEID8003172,HEID8003172_HCK2KDSX5
HEID8003177,HEID8003177_H32JJDSX5
HEID8003177,HEID8003177_HCK2KDSX5
HEID8003181,HEID8003181_H2YKNDSX5
HEID8003181,HEID8003181_HCK2KDSX5
HEID8003184,HEID8003184_H2YKNDSX5
HEID8003184,HEID8003184_HCK2KDSX5
HEID8003188,HEID8003188_H2YKNDSX5
HEID8003188,HEID8003188_HCK2KDSX5
HEID8003207,HEID8003207_H5GL7DSX5
HEID8003207,HEID8003207_HCHMYDSX5
HEID8003238,HEID8003238_H2J77DSX3
HEID8003238,HEID8003238_H2J7JDSX3
HEID8003249,HEID8003249_H32JJDSX5
HEID8003249,HEID8003249_HCK2KDSX5
HEID8003258,HEID8003258_H32JJDSX5
HEID8003258,HEID8003258_HCK2KDSX5
HEID8003261,HEID8003261_H5GL7DSX5
HEID8003261,HEID8003261_HCHMYDSX5
HEID8003262,HEID8003262_H5GJJDSX5
HEID8003265,HEID8003265_H5GJJDSX5
HEID8003265,HEID8003265_HCHMYDSX5
HEID8003271,HEID8003271_H5GJJDSX5
HEID8003271,HEID8003271_HCHMYDSX5
HEID8003279,HEID8003279_H2J77DSX3
HEID8003279,HEID8003279_HG7THDSX3
HEID8003289,HEID8003289_H5GJJDSX5
HEID8003289,HEID8003289_HCHMYDSX5
HEID8003292,HEID8003292_H5GJJDSX5
HEID8003297,HEID8003297_H5GL7DSX5
HEID8003297,HEID8003297_HCHMYDSX5
HEID8003299,HEID8003299_H32JJDSX5
HEID8003299,HEID8003299_HCK2KDSX5
HEID8003308,HEID8003308_H5CK7DSX5
HEID8003308,HEID8003308_HCHMYDSX5
HEID8003334,HEID8003334_H2J77DSX3
HEID8003334,HEID8003334_HG7THDSX3
HEID8003343,HEID8003343_H5GJJDSX5
HEID8003372,HEID8003372_H5GJJDSX5
HEID8003394,HEID8003394_H5CK7DSX5
HEID8003394,HEID8003394_HCHMYDSX5
HEID8003408,HEID8003408_H2YKNDSX5
HEID8003408,HEID8003408_HCK2KDSX5
HEID8003409,HEID8003409_H5CK7DSX5
HEID8003410,HEID8003410_H5CK7DSX5
HEID8003427,HEID8003427_H5CK7DSX5
HEID8003429,HEID8003429_H2YKNDSX5
HEID8003429,HEID8003429_HCK2KDSX5
HEID8003431,HEID8003431_H5GJJDSX5
HEID8003431,HEID8003431_HCHMYDSX5
HEID8003441,HEID8003441_H2J7CDSX3
HEID8003441,HEID8003441_H2J7JDSX3
HEID8003474,HEID8003474_H32JJDSX5
HEID8003474,HEID8003474_HCK2KDSX5
HEID8003482,HEID8003482_H2YKNDSX5
HEID8003482,HEID8003482_HCK2KDSX5
HEID8003485,HEID8003485_H2YKNDSX5
HEID8003485,HEID8003485_HCK2KDSX5
HEID8006711,HEID8006711_H2J77DSX3
HEID8006711,HEID8006711_H2J7JDSX3
HEID8007748,HEID8007748_H5GL7DSX5
HEID8007748,HEID8007748_HCHMYDSX5
HEID8007801,HEID8007801_H5GJJDSX5
HEID8007803,HEID8007803_H5GJJDSX5
HEID8007803,HEID8007803_HCHMYDSX5
HEID8007807,HEID8007807_H5GJJDSX5
HEID8007807,HEID8007807_HCHMYDSX5
HEID8007889,HEID8007889_H5GJJDSX5
HEID8007915,HEID8007915_H5GL7DSX5
HEID8007915,HEID8007915_HCHMYDSX5
HEID8007966,HEID8007966_H5CK7DSX5
HEID8007975,HEID8007975_H5GJJDSX5
HEID8007991,HEID8007991_H5GL7DSX5
HEID8007991,HEID8007991_HCHMYDSX5
HEID8007999,HEID8007999_H5GL7DSX5
HEID8007999,HEID8007999_HCHMYDSX5
HEID8008016,HEID8008016_H5GL7DSX5
HEID8008016,HEID8008016_HCHMYDSX5
HEID8008035,HEID8008035_H5CK7DSX5
HEID8008053,HEID8008053_H5GJJDSX5
HEID8008073,HEID8008073_H2YKNDSX5
HEID8008073,HEID8008073_HCK2KDSX5
HEID8008102,HEID8008102_H5GL7DSX5
HEID8008102,HEID8008102_HCHMYDSX5
HEID8008105,HEID8008105_H5GL7DSX5
HEID8008105,HEID8008105_HCHMYDSX5
HEID8008106,HEID8008106_H5CK7DSX5
HEID8008107,HEID8008107_H2YKNDSX5
HEID8008107,HEID8008107_HCK2KDSX5
HEID8008110,HEID8008110_H5CK7DSX5
HEID8008112,HEID8008112_H5GL7DSX5
HEID8008112,HEID8008112_HCHMYDSX5
HEID8008113,HEID8008113_H2J77DSX3
HEID8008113,HEID8008113_HG7THDSX3
HEID8008115,HEID8008115_H5GL7DSX5
HEID8008115,HEID8008115_HCHMYDSX5
HEID8008116,HEID8008116_H5GL7DSX5
HEID8008116,HEID8008116_HCHMYDSX5
HEID8008119,HEID8008119_H5GL7DSX5
HEID8008119,HEID8008119_HCHMYDSX5
HEID8008121,HEID8008121_H5GJJDSX5
HEID8008122,HEID8008122_H5GL7DSX5
HEID8008122,HEID8008122_HCHMYDSX5
HEID8008213,HEID8008213_H5GL7DSX5
HEID8008213,HEID8008213_HCHMYDSX5
HEID8008261,HEID8008261_H5CK7DSX5
HEID8008266,HEID8008266_H5CK7DSX5
HEID8008268,HEID8008268_H5CK7DSX5
HEID8008298,HEID8008298_H5CK7DSX5
HEID8008298,HEID8008298_HCHMYDSX5
HEID8008306,HEID8008306_H5GJJDSX5
HEID8008308,HEID8008308_H5GJJDSX5
HEID8008332,HEID8008332_H5CK7DSX5
HEID8008334,HEID8008334_H5CK7DSX5
HEID8008402,HEID8008402_H5CK7DSX5
HEID8008402,HEID8008402_HCHMYDSX5
HEID8008426,HEID8008426_H5GL7DSX5
HEID8008426,HEID8008426_HCHMYDSX5
HEID8008429,HEID8008429_H5GL7DSX5
HEID8008429,HEID8008429_HCHMYDSX5
HEID8008439,HEID8008439_H5GJJDSX5
HEID8008439,HEID8008439_HCHMYDSX5
HEID8008532,HEID8008532_H5GJJDSX5
HEID8008534,HEID8008534_H5GJJDSX5
HEID8008542,HEID8008542_H2J77DSX3
HEID8008542,HEID8008542_H2J7JDSX3
HEID8008546,HEID8008546_H5GL7DSX5
HEID8008546,HEID8008546_HCHMYDSX5
HEID8008561,HEID8008561_H5GL7DSX5
HEID8008561,HEID8008561_HCHMYDSX5
HEID8008564,HEID8008564_H5CK7DSX5
HEID8008566,HEID8008566_H5GJJDSX5
HEID8008566,HEID8008566_HCHMYDSX5
HEID8008569,HEID8008569_H5CK7DSX5
HEID8008576,HEID8008576_H5GJJDSX5
HEID8008576,HEID8008576_HCHMYDSX5
HEID8008583,HEID8008583_H5GJJDSX5
HEID8008583,HEID8008583_HCHMYDSX5
HEID8008590,HEID8008590_H5CK7DSX5
HEID8008590,HEID8008590_HCHMYDSX5
HEID8008598,HEID8008598_H2YKNDSX5
HEID8008598,HEID8008598_HCK2KDSX5
HEID8008599,HEID8008599_H5GJJDSX5
HEID8008606,HEID8008606_H2YKNDSX5
HEID8008606,HEID8008606_HCK2KDSX5
HEID8008752,HEID8008752_H5GJJDSX5
HEID8008752,HEID8008752_HCHMYDSX5
HEID8008786,HEID8008786_H2J77DSX3
HEID8008786,HEID8008786_H2J7JDSX3
HEID8008794,HEID8008794_H2J7CDSX3
HEID8008794,HEID8008794_H2J7JDSX3
HEID8008881,HEID8008881_H2J77DSX3
HEID8008881,HEID8008881_H2J7JDSX3
HEID8008974,HEID8008974_H2J77DSX3
HEID8008974,HEID8008974_H2J7JDSX3
HEID8008999,HEID8008999_H2J77DSX3
HEID8008999,HEID8008999_HG7THDSX3
HEID8009144,HEID8009144_H2J77DSX3
HEID8009144,HEID8009144_H2J7JDSX3
HEID8009274,HEID8009274_H2J77DSX3
HEID8009274,HEID8009274_HG7THDSX3
HEID8009296,HEID8009296_H2J7CDSX3
HEID8009296,HEID8009296_H2J7JDSX3
HEID8009938,HEID8009938_H5CK7DSX5
HEID8009938,HEID8009938_HCHMYDSX5
HEID8009940,HEID8009940_H5GJJDSX5
HEID8009942,HEID8009942_H5GJJDSX5
HEID8009943,HEID8009943_H5GJJDSX5
HEID8009947,HEID8009947_H2J77DSX3
HEID8009947,HEID8009947_HG7THDSX3
HEID8009950,HEID8009950_H5GL7DSX5
HEID8009950,HEID8009950_HCHMYDSX5
HEID8009951,HEID8009951_H5GL7DSX5
HEID8009951,HEID8009951_HCHMYDSX5
HEID8009952,HEID8009952_H2J77DSX3
HEID8009952,HEID8009952_H5CK7DSX5
HEID8009952,HEID8009952_HCHMYDSX5
HEID8009952,HEID8009952_HG7THDSX3
HEID8009953,HEID8009953_H5CK7DSX5
HEID8009954,HEID8009954_H5CK7DSX5
HEID8009955,HEID8009955_H5CK7DSX5
HEID8009960,HEID8009960_H5CK7DSX5
HEID8009961,HEID8009961_H5CK7DSX5
HEID8009962,HEID8009962_H5GJJDSX5
HEID8009962,HEID8009962_HCHMYDSX5
HEID8009963,HEID8009963_H5GJJDSX5
HEID8009963,HEID8009963_HCHMYDSX5
HEID8009964,HEID8009964_H5GJJDSX5
HEID8009964,HEID8009964_HCHMYDSX5
HEID8009965,HEID8009965_H5GJJDSX5
HEID8009965,HEID8009965_HCHMYDSX5
HEID8009967,HEID8009967_H5GJJDSX5
HEID8009967,HEID8009967_HCHMYDSX5
HEID8009968,HEID8009968_H5GJJDSX5
HEID8009968,HEID8009968_HCHMYDSX5
HEID8009971,HEID8009971_H5GJJDSX5
HEID8009971,HEID8009971_HCHMYDSX5
HEID8009973,HEID8009973_H5GL7DSX5
HEID8009973,HEID8009973_HCHMYDSX5
HEID8009974,HEID8009974_H32JJDSX5
HEID8009974,HEID8009974_HCK2KDSX5
HEID8009975,HEID8009975_H32JJDSX5
HEID8009975,HEID8009975_HCK2KDSX5
HEID8009976,HEID8009976_H32JJDSX5
HEID8009976,HEID8009976_HCK2KDSX5
HEID8009978,HEID8009978_H32JJDSX5
HEID8009978,HEID8009978_HCK2KDSX5
HEID8009979,HEID8009979_H32JJDSX5
HEID8009979,HEID8009979_HCK2KDSX5
HEID8009980,HEID8009980_H2YKNDSX5
HEID8009980,HEID8009980_HCK2KDSX5
HEID8009981,HEID8009981_H2YKNDSX5
HEID8009981,HEID8009981_HCK2KDSX5
HEID8009984,HEID8009984_H2YKNDSX5
HEID8009984,HEID8009984_HCK2KDSX5
HEID8009986,HEID8009986_H2YKNDSX5
HEID8009986,HEID8009986_HCK2KDSX5
HEID8009987,HEID8009987_H2YKNDSX5
HEID8009987,HEID8009987_HCK2KDSX5
HEID8009989,HEID8009989_H2YKNDSX5
HEID8009989,HEID8009989_HCK2KDSX5
HEID8009990,HEID8009990_H2YKNDSX5
HEID8009990,HEID8009990_HCK2KDSX5
HEID8009993,HEID8009993_H2YKNDSX5
HEID8009993,HEID8009993_HCK2KDSX5
HEID8009999,HEID8009999_H5GL7DSX5
HEID8009999,HEID8009999_HCHMYDSX5
HEID8010009,HEID8010009_H5CK7DSX5
HEID8010009,HEID8010009_HCHMYDSX5
HEID8010015,HEID8010015_H32JJDSX5
HEID8010015,HEID8010015_HCK2KDSX5
HEID8010021,HEID8010021_H5CK7DSX5
HEID8010022,HEID8010022_H2J77DSX3
HEID8010022,HEID8010022_HG7THDSX3
HEID8010033,HEID8010033_H5GL7DSX5
HEID8010033,HEID8010033_HCHMYDSX5
HEID8010044,HEID8010044_H32JJDSX5
HEID8010044,HEID8010044_HCK2KDSX5
HEID8010045,HEID8010045_H32JJDSX5
HEID8010045,HEID8010045_HCK2KDSX5
HEID8010046,HEID8010046_H32JJDSX5
HEID8010046,HEID8010046_HCK2KDSX5
HEID8010047,HEID8010047_H2YKNDSX5
HEID8010047,HEID8010047_HCK2KDSX5
HEID8010050,HEID8010050_H5CK7DSX5
HEID8010050,HEID8010050_HCHMYDSX5
HEID8010056,HEID8010056_H2J77DSX3
HEID8010056,HEID8010056_HG7THDSX3
HEID8010059,HEID8010059_H5GL7DSX5
HEID8010059,HEID8010059_HCHMYDSX5
HEID8010063,HEID8010063_H2J77DSX3
HEID8010063,HEID8010063_HG7THDSX3
HEID8010066,HEID8010066_H2J77DSX3
HEID8010066,HEID8010066_H2J7JDSX3
HEID8010067,HEID8010067_H32JJDSX5
HEID8010067,HEID8010067_HCK2KDSX5
HEID8010072,HEID8010072_H2YKNDSX5
HEID8010072,HEID8010072_HCK2KDSX5
HEID8010077,HEID8010077_H32JJDSX5
HEID8010077,HEID8010077_HCK2KDSX5
HEID8010078,HEID8010078_H2YKNDSX5
HEID8010078,HEID8010078_HCK2KDSX5
HEID8010080,HEID8010080_H5GJJDSX5
HEID8010110,HEID8010110_H2J77DSX3
