SAMPLE	SPECIES_NAME_PRINT	FAMILY	TRIBE	SUPERTRIBE	GENUS	Type_status	loci_remaining
S1571	Sibara pinnata	Brassicaceae	Thelypodieae	Brassicodae (II)	Sibara		598
S1004	Mostacillastrum andinum	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum		1083
S1420	Thysanocarpus curvipes	Brassicaceae	Thelypodieae	Brassicodae (II)	Thysanocarpus		837
S1427	Hesperidanthus linearifolius	Brassicaceae	Thelypodieae	Brassicodae (II)	Hesperidanthus		291
S1586	Mostacillastrum andinum	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum		1207
S2215	Thelypodium integrifolium	Brassicaceae	Thelypodieae	Brassicodae (II)	Thelypodium		931
S3906	Weberbauera spathulifolia	Brassicaceae	Thelypodieae	Brassicodae (II)	Weberbauera		1172
S3936	Mostacillastrum gracile	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum		1220
S4047	Thelypodium laciniatum	Brassicaceae	Thelypodieae	Brassicodae (II)	Thelypodium		1194
S0512	Chaunanthus mexicanus	Brassicaceae	Thelypodieae	Brassicodae (II)	Chaunanthus	Isotype	930
S4142	Neuontobotrys frutescens	Brassicaceae	Thelypodieae	Brassicodae (II)	Neuontobotrys		1154
S3322	Thelypodium eucosmum	Brassicaceae	Thelypodieae	Brassicodae (II)	Thelypodium		1201
S1971	Sibaropsis hammittii	Brassicaceae	Thelypodieae	Brassicodae (II)	Sibaropsis		1153
S3191	Mostacillastrum arcuatum	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum		1203
S0286	Chlorocrambe hastata	Brassicaceae	Thelypodieae	Brassicodae (II)	Chlorocrambe		1095
S0295	Hesperidanthus suffrutescens	Brassicaceae	Thelypodieae	Brassicodae (II)	Hesperidanthus		1114
S0296	Hesperidanthus jaegeri	Brassicaceae	Thelypodieae	Brassicodae (II)	Hesperidanthus		1156
S0346	Romanschulzia arabiformis	Brassicaceae	Thelypodieae	Brassicodae (II)	Romanschulzia		1207
S0448	Sibara tehuelches	Brassicaceae	Thelypodieae	Brassicodae (II)	Sibara		1173
S0516	Neuontobotrys berningeri	Brassicaceae	Thelypodieae	Brassicodae (II)	Neuontobotrys		1113
S0517	Neuontobotrys camanaensis	Brassicaceae	Thelypodieae	Brassicodae (II)	Neuontobotrys	Isotype	1079
S0518	Neuontobotrys lanata	Brassicaceae	Thelypodieae	Brassicodae (II)	Neuontobotrys		1117
S0519	Neuontobotrys robusta	Brassicaceae	Thelypodieae	Brassicodae (II)	Neuontobotrys		1197
S0521	Stanleya pinnata	Brassicaceae	Thelypodieae	Brassicodae (II)	Stanleya		1110
S0534	Sibara pinnata	Brassicaceae	Thelypodieae	Brassicodae (II)	Sibara		1206
S0647	Thysanocarpus curvipes	Brassicaceae	Thelypodieae	Brassicodae (II)	Thysanocarpus		1198
S0727	Dryopetalon runcinatum	Brassicaceae	Thelypodieae	Brassicodae (II)	Dryopetalon		792
S0754	Parodiodoxa chionophila	Brassicaceae	Thelypodieae	Brassicodae (II)	Parodiodoxa		1117
S0798	Neuontobotrys intricatissima	Brassicaceae	Thelypodieae	Brassicodae (II)	Neuontobotrys		1101
S0810	Polypsecadium magellanicum	Brassicaceae	Thelypodieae	Brassicodae (II)	Polypsecadium		1192
S0979	Stanleya elata	Brassicaceae	Thelypodieae	Brassicodae (II)	Stanleya		1152
S1002	Sibara macrostachya	Brassicaceae	Thelypodieae	Brassicodae (II)	Sibara		1149
S1032	Polypsecadium rusbyi	Brassicaceae	Thelypodieae	Brassicodae (II)	Polypsecadium		1111
S1039	Englerocharis peruviana	Brassicaceae	Thelypodieae	Brassicodae (II)	Englerocharis		1182
S1040	Sibara angelorum	Brassicaceae	Thelypodieae	Brassicodae (II)	Sibara		1164
S1044	Chilocardamum patagonicum	Brassicaceae	Thelypodieae	Brassicodae (II)	Chilocardamum		1219
S1050	Phravenia viereckii	Brassicaceae	Thelypodieae	Brassicodae (II)	Phravenia		1218
S1063	Neuontobotrys frutescens	Brassicaceae	Thelypodieae	Brassicodae (II)	Neuontobotrys		1205
S1070	Mostacillastrum carolinense	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum		1215
S1072	Hesperidanthus argillaceus	Brassicaceae	Thelypodieae	Brassicodae (II)	Hesperidanthus		1211
S1081	Hesperidanthus barnebyi	Brassicaceae	Thelypodieae	Brassicodae (II)	Hesperidanthus		1202
S1094	Mostacillastrum dianthoides	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum		1206
S1096	Mostacillastrum pectinifolium	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum		1224
S1097	Ivania cremnophila	Brassicaceae	Thelypodieae	Brassicodae (II)	Ivania	Isotype	1134
S1098	Neuontobotrys linearifolia	Brassicaceae	Thelypodieae	Brassicodae (II)	Neuontobotrys		1192
S1099	Polypsecadium effusum	Brassicaceae	Thelypodieae	Brassicodae (II)	Polypsecadium		1214
S1106	Phlebolobium maclovianum	Brassicaceae	Thelypodieae	Brassicodae (II)	Phlebolobium		1223
S1109	Mostacillastrum stenophyllum	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum		1217
S1117	Weberbauera spathulifolia	Brassicaceae	Thelypodieae	Brassicodae (II)	Weberbauera	Syntype	1187
S1118	Ivania cremnophila	Brassicaceae	Thelypodieae	Brassicodae (II)	Ivania	Isotype	1095
S1125	Weberbauera spathulifolia	Brassicaceae	Thelypodieae	Brassicodae (II)	Weberbauera		1208
S1159	Mostacillastrum commune	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum		1220
S1160	Polypsecadium gilliesii	Brassicaceae	Thelypodieae	Brassicodae (II)	Polypsecadium		1184
S1163	Mostacillastrum volckmannii	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum		1205
S1164	Polypsecadium llatasii	Brassicaceae	Thelypodieae	Brassicodae (II)	Polypsecadium		1216
S1258	Warea amplexifolia	Brassicaceae	Thelypodieae	Brassicodae (II)	Warea		1219
S1319	Polypsecadium harmsianum	Brassicaceae	Thelypodieae	Brassicodae (II)	Polypsecadium		1170
S1417	Pringlea antiscorbutica	Brassicaceae	Thelypodieae	Brassicodae (II)	Pringlea		471
S1459	Zuloagocardamum jujuyensis	Brassicaceae	Thelypodieae	Brassicodae (II)	Zuloagocardamum	Isotype	1191
S1464	Hollermayera valdiviana	Brassicaceae	Thelypodieae	Brassicodae (II)	Hollermayera		1220
S1497	Mostacillastrum gracile	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum		1216
S1533	Warea cuneifolia	Brassicaceae	Thelypodieae	Brassicodae (II)	Warea		1221
S1688	Stanleya bipinnata	Brassicaceae	Thelypodieae	Brassicodae (II)	Stanleya		1202
S1689	Thelypodiopsis elegans	Brassicaceae	Thelypodieae	Brassicodae (II)	Thelypodiopsis		1170
S1690	Thelypodium laciniatum	Brassicaceae	Thelypodieae	Brassicodae (II)	Thelypodium		1008
S1695	Streptanthus coulteri	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1189
S1698	Chaunanthus petiolatus	Brassicaceae	Thelypodieae	Brassicodae (II)	Chaunanthus		1221
S1699	Dictyophragmus englerianus	Brassicaceae	Thelypodieae	Brassicodae (II)	Dictyophragmus		1168
S1700	Polypsecadium solidagineum	Brassicaceae	Thelypodieae	Brassicodae (II)	Polypsecadium		1097
S1704	Neuontobotrys tarapacanus	Brassicaceae	Thelypodieae	Brassicodae (II)	Neuontobotrys		1191
S1705	Streptanthella longirostris	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1219
S1709	Mostacillastrum orbignyanum	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum		1183
S1712	Sibara deserti	Brassicaceae	Thelypodieae	Brassicodae (II)	Sibara		1210
S1713	Sibara laxa	Brassicaceae	Thelypodieae	Brassicodae (II)	Sibara		1204
S1792	Terraria haydenii	Brassicaceae	Thelypodieae	Brassicodae (II)	Terraria	Holotype	1223
S1793	Streptanthella longirostris	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthella		1209
S1799	Guillenia lasiophylla	Brassicaceae	Thelypodieae	Brassicodae (II)	Guillenia		1205
S1802	Streptanthus crassicaulis	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1179
S2062	Thelypodium brachycarpum	Brassicaceae	Thelypodieae	Brassicodae (II)	Thelypodium		1211
S2091	Streptanthus inflatus	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1169
S2105	Streptanthus glaucus	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1212
S2155	Streptanthus flavescens	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1173
S2160	Streptanthus insignis	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1203
S2162	Streptanthus batrachopus	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1192
S2166	Streptanthus cordatus	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1188
S2176	Weberbauera peruviana	Brassicaceae	Thelypodieae	Brassicodae (II)	Weberbauera		1173
S2203	Mostacillastrum haitiense	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum		1160
S2208	Mostacillastrum ekmanii	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum		1195
S2212	Thysanocarpus radians	Brassicaceae	Thelypodieae	Brassicodae (II)	Thysanocarpus		1137
S2213	Thelypodium paniculatum	Brassicaceae	Thelypodieae	Brassicodae (II)	Thelypodium		1189
S2214	Thysanocarpus laciniatus	Brassicaceae	Thelypodieae	Brassicodae (II)	Thysanocarpus		1163
S2216	Streptanthus pilosus	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1172
S2217	Thysanocarpus desertorum	Brassicaceae	Thelypodieae	Brassicodae (II)	Thysanocarpus		1186
S2220	Streptanthus hyacinthoides	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1174
S2222	Streptanthus californicus	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1086
S2224	Streptanthus hesperidis	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1183
S2228	Thelypodium crispum	Brassicaceae	Thelypodieae	Brassicodae (II)	Thelypodium		1211
S2229	Streptanthus cooperi	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1039
S2232	Streptanthus carinatus	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1194
S2240	Streptanthus barbiger	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1181
S2402	Sibara brandegeeana	Brassicaceae	Thelypodieae	Brassicodae (II)	Sibara		1185
S2403	Romanschulzia guerrerensis	Brassicaceae	Thelypodieae	Brassicodae (II)	Romanschulzia		1184
S2404	Sibara anethifolia	Brassicaceae	Thelypodieae	Brassicodae (II)	Sibara		1207
S2406	Romanschulzia costaricensis	Brassicaceae	Thelypodieae	Brassicodae (II)	Romanschulzia		816
S2412	Romanschulzia rzedowskii	Brassicaceae	Thelypodieae	Brassicodae (II)	Romanschulzia	Isotype	1182
S2425	Mostacillastrum purpusii	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum		1220
S2431	Mostacillastrum versicolor	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum		1007
S2458	Mostacillastrum subauriculatum	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum		1186
S2469	Streptanthus barbatus	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1189
S2483	Thelypodium milleflorum	Brassicaceae	Thelypodieae	Brassicodae (II)	Thelypodium		1162
S2503	Streptanthus oliganthus	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		863
S2509	Chilocardamum onuridifolium	Brassicaceae	Thelypodieae	Brassicodae (II)	Chilocardamum		1166
S2514	Thelypodium wrightii	Brassicaceae	Thelypodieae	Brassicodae (II)	Thelypodium		1183
S2518	Weberbauera herzogii	Brassicaceae	Thelypodieae	Brassicodae (II)	Weberbauera		717
S2526	Streptanthus bracteatus	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1219
S2529	Dryopetalon paysonii	Brassicaceae	Thelypodieae	Brassicodae (II)	Dryopetalon		1186
S2531	Thelypodiopsis aurea	Brassicaceae	Thelypodieae	Brassicodae (II)	Thelypodiopsis		1185
S2533	Weberbauera cymosa	Brassicaceae	Thelypodieae	Brassicodae (II)	Weberbauera		1172
S2536	Warea sessilifolia	Brassicaceae	Thelypodieae	Brassicodae (II)	Warea		1220
S2538	Streptanthus longisiliquus	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1157
S2540	Dryopetalon membranifolium	Brassicaceae	Thelypodieae	Brassicodae (II)	Dryopetalon		1173
S2542	Thelypodium flexuosum	Brassicaceae	Thelypodieae	Brassicodae (II)	Thelypodium		1192
S2544	Streptanthus barnebyi	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus	Isotype	1173
S2549	Weberbauera ayacuchoensis	Brassicaceae	Thelypodieae	Brassicodae (II)	Weberbauera		1192
S2551	Streptanthus campestris	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1223
S2553	Streptanthus brachiatus	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1122
S2555	Thelypodiopsis juniperorum	Brassicaceae	Thelypodieae	Brassicodae (II)	Thelypodiopsis		1193
S2557	Thelypodiopsis wootonii	Brassicaceae	Thelypodieae	Brassicodae (II)	Thelypodiopsis		1186
S2559	Thelypodiopsis ambigua	Brassicaceae	Thelypodieae	Brassicodae (II)	Thelypodiopsis		1177
S2751	Streptanthus platycarpus	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1212
S2955	Polypsecadium apolobamba	Brassicaceae	Thelypodieae	Brassicodae (II)	Polypsecadium		1199
S2958	Romanschulzia orizabae	Brassicaceae	Thelypodieae	Brassicodae (II)	Romanschulzia		1218
S2963	Romanschulzia subclavata	Brassicaceae	Thelypodieae	Brassicodae (II)	Romanschulzia		1218
S2967	Stanleya albescens	Brassicaceae	Thelypodieae	Brassicodae (II)	Stanleya		1040
S2970	Streptanthus squamiformis	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1198
S2973	Streptanthus hispidus	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1185
S2979	Englerocharis cuzcoensis	Brassicaceae	Thelypodieae	Brassicodae (II)	Englerocharis	Holotype	1178
S2987	Thelypodium rollinsii	Brassicaceae	Thelypodieae	Brassicodae (II)	Thelypodium		1216
S2988	Romanschulzia schistacea	Brassicaceae	Thelypodieae	Brassicodae (II)	Romanschulzia	Isotype	1204
S2997	Englerocharis dentata	Brassicaceae	Thelypodieae	Brassicodae (II)	Englerocharis	Isotype	1163
S3001	Dryopetalon stenocarpum	Brassicaceae	Thelypodieae	Brassicodae (II)	Dryopetalon	Holotype	1186
S3004	Englerocharis blanca-leoniae	Brassicaceae	Thelypodieae	Brassicodae (II)	Englerocharis	Isotype	1202
S3010	Chaunanthus acuminatus	Brassicaceae	Thelypodieae	Brassicodae (II)	Chaunanthus		1197
S3024	Thysanocarpus conchuliferus	Brassicaceae	Thelypodieae	Brassicodae (II)	Thysanocarpus		1222
S3027	Thelypodiopsis vermicularis	Brassicaceae	Thelypodieae	Brassicodae (II)	Thelypodiopsis		1173
S3029	Thelypodium eucosmum	Brassicaceae	Thelypodieae	Brassicodae (II)	Thelypodium		1204
S3037	Streptanthus oblanceolatus	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus	Isotype	1195
S3049	Stanleya tomentosa	Brassicaceae	Thelypodieae	Brassicodae (II)	Stanleya		1179
S3052	Dryopetalon auriculatum	Brassicaceae	Thelypodieae	Brassicodae (II)	Dryopetalon		1192
S3071	Thelypodiopsis divaricata	Brassicaceae	Thelypodieae	Brassicodae (II)	Thelypodiopsis		1202
S3074	Streptanthus diversifolius	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1059
S3091	Stanleya viridiflora	Brassicaceae	Thelypodieae	Brassicodae (II)	Stanleya		1202
S3101	Streptanthus petiolaris	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1214
S3110	Sibara filifolia	Brassicaceae	Thelypodieae	Brassicodae (II)	Sibara		1175
S3133	Stanleya confertiflora	Brassicaceae	Thelypodieae	Brassicodae (II)	Stanleya	Type of Stanleya annua	1202
S3145	Mostacillastrum hunzikeri	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum	Isotype	1199
S3147	Sibaropsis hammittii	Brassicaceae	Thelypodieae	Brassicodae (II)	Sibaropsis		1218
S3157	Mostacillastrum retrofractum	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum		1193
S3160	Neuontobotrys amplexicaulis	Brassicaceae	Thelypodieae	Brassicodae (II)	Neuontobotrys		1222
S3194	Mostacillastrum arcuatum	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum		1216
S3207	Streptanthus farnsworthianus	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1216
S3209	Dryopetalon crenatum	Brassicaceae	Thelypodieae	Brassicodae (II)	Dryopetalon		1127
S3211	Thelypodium howellii	Brassicaceae	Thelypodieae	Brassicodae (II)	Thelypodium		1217
S3213	Streptanthus bernardinus	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1195
S3398	Sarcodraba dusenii	Brassicaceae	Thelypodieae	Brassicodae (II)	Sarcodraba		1182
S3401	Sarcodraba subterranea	Brassicaceae	Thelypodieae	Brassicodae (II)	Sarcodraba		1213
S3404	Sarcodraba andina	Brassicaceae	Thelypodieae	Brassicodae (II)	Sarcodraba		1178
S3408	Sarcodraba karraikensis	Brassicaceae	Thelypodieae	Brassicodae (II)	Sarcodraba		1134
S3413	Polypsecadium zoellneri	Brassicaceae	Thelypodieae	Brassicodae (II)	Hendriksia		1209
S3421	Sibara dilloniorum	Brassicaceae	Thelypodieae	Brassicodae (II)	Sibara		1215
S3512	Dryopetalon palmeri	Brassicaceae	Thelypodieae	Brassicodae (II)	Dryopetalon		1201
S3680	Mostacillastrum leptocarpum	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum		1195
S3734	Warea carteri	Brassicaceae	Thelypodieae	Brassicodae (II)	Warea		1057
S3738	Streptanthus tortuosus	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1191
S3740	Streptanthus major	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1195
S3742	Thelypodium sagittatum	Brassicaceae	Thelypodieae	Brassicodae (II)	Thelypodium		1100
S3761	Mostacillastrum oleraceum	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum		1192
S3855	Thelypodium integrifolium	Brassicaceae	Thelypodieae	Brassicodae (II)	Thelypodium		1194
S3922	Mostacillastrum andinum	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum		1206
S3967	Streptanthus heterophyllus	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1193
S3973	Streptanthus cutleri	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus	Topotype	1197
S3981	Thelypodium repandum	Brassicaceae	Thelypodieae	Brassicodae (II)	Thelypodium		1198
S3995	Weberbauera orophila	Brassicaceae	Thelypodieae	Brassicodae (II)	Weberbauera		1187
S4001	Guillenia lemmonii	Brassicaceae	Thelypodieae	Brassicodae (II)	Guillenia		1191
S4005	Romanschulzia correllii	Brassicaceae	Thelypodieae	Brassicodae (II)	Romanschulzia	Holotype	1203
S4015	Weberbauera rosulans	Brassicaceae	Thelypodieae	Brassicodae (II)	Weberbauera		1204
S4021	Mostacillastrum gracielae	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum		1208
S4029	Polypsecadium adscendens	Brassicaceae	Thelypodieae	Brassicodae (II)	Polypsecadium		1220
S4082	Mostacillastrum longipes	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum		1188
S4107	Weberbauera trichocarpa	Brassicaceae	Thelypodieae	Brassicodae (II)	Weberbauera		1050
S4132	Thelypodium texanum	Brassicaceae	Thelypodieae	Brassicodae (II)	Thelypodium		1196
S4152	Streptanthus polygaloides	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1206
S4165	Mostacillastrum incisum	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum	Isotype	1201
S4378	Weberbauera arequipa	Brassicaceae	Thelypodieae	Brassicodae (II)	Weberbauera	Holotype	1196
SRR495203	Streptanthus amplexicaulis	Brassicaceae	Thelypodieae	Brassicodae (II)	Caulanthus	-	1225
SRR8528388	Raphanorhyncha crassa	Brassicaceae	Thelypodieae	Brassicodae (II)	Raphanorhyncha	-	890
S1972	Pterygiosperma tehuelches	Brassicaceae	Thelypodieae	Brassicodae (II)	Pterygiosperma		417
S3202	Dryopetalon crenatum	Brassicaceae	Thelypodieae	Brassicodae (II)	Dryopetalon		1000
S3336	Dryopetalon stenocarpum	Brassicaceae	Thelypodieae	Brassicodae (II)	Dryopetalon	Isotype	1203
S3415	Ivania juncalensis	Brassicaceae	Thelypodieae	Brassicodae (II)	Ivania		1219
S1186	Polypsecadium effusum	Brassicaceae	Thelypodieae	Brassicodae (II)	Polypsecadium		1173
S4019	Mostacillastrum gracielae	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum		1206
S3493	Romanschulzia schistacea	Brassicaceae	Thelypodieae	Brassicodae (II)	Romanschulzia		1189
S3494	Mostacillastrum gracielae	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum		1218
S3590	Romanschulzia subclavata	Brassicaceae	Thelypodieae	Brassicodae (II)	Romanschulzia		1218
S1042	Dictyophragmus englerianus	Brassicaceae	Thelypodieae	Brassicodae (II)	Dictyophragmus		248
S1073	Sibara laxa	Brassicaceae	Thelypodieae	Brassicodae (II)	Sibara		290
S1692	Streptanthus crassicaulis	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1172
S1710	Polypsecadium harmsianum	Brassicaceae	Thelypodieae	Brassicodae (II)	Polypsecadium		1210
S2992	Guillenia lemmonii	Brassicaceae	Thelypodieae	Brassicodae (II)	Guillenia		1199
S3047	Chaunanthus torulosus	Brassicaceae	Thelypodieae	Brassicodae (II)	Chaunanthus	Isotype	189
S1273	Mostacillastrum subauriculatum	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum		1152
S2193	Dryopetalon palmeri	Brassicaceae	Thelypodieae	Brassicodae (II)	Dryopetalon		985
S2194	Romanschulzia apetala	Brassicaceae	Thelypodieae	Brassicodae (II)	Romanschulzia		431
SRR11653885	Guillenia lasiophylla	Brassicaceae	Thelypodieae	Brassicodae (II)	Guillenia		192
SRR1800511	Streptanthus amplexicaulis	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1103
SRR24148406	Streptanthus amplexicaulis	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		173
SRR30183099	Streptanthus tortuosus subsp. truei	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1196
SRR30183458	Streptanthus glandulosus subsp. glandulosus	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1195
SRR30183465	Streptanthus glandulosus subsp. albidus	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		1197
SRR8164568	Streptanthus glandulosus subsp. niger	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		519
SRR8164569	Streptanthus glandulosus subsp. niger	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		772
SRR8164570	Streptanthus glandulosus subsp. niger	Brassicaceae	Thelypodieae	Brassicodae (II)	Streptanthus		511
S4544	?	?	?	?	?		447
S4546	?	?	?	?	?		425
S4550	?	?	?	?	?		437
S4552	?	?	?	?	?		449
S4548	?	?	?	?	?		411
HEID8003238	Abdra aprica	Brassicaceae	Arabideae	Arabodae (IV)	Abdra		1137
S0834	Abdra brachycarpa	Brassicaceae	Arabideae	Arabodae (IV)	Abdra		1067
HEID8010231	Abdra brachycarpa	Brassicaceae	Arabideae	Arabodae (IV)	Abdra		1123
S0419	Acirostrum alaschanicum	Brassicaceae	Arabideae	Arabodae (IV)	Acirostrum		1103
HEID8000852	Acirostrum alaschanicum	Brassicaceae	Arabideae	Arabodae (IV)	Acirostrum		1146
S0724	Acuston lunarioides	Brassicaceae	Alysseae	Arabodae (IV)	Acuston		1173
S1466	Acuston lunarioides	Brassicaceae	Alysseae	Arabodae (IV)	Acuston		
S4484	Acuston petalodes	Brassicaceae	Alysseae	Arabodae (IV)	Acuston		1101
S4569	Acuston petalodes	Brassicaceae	Alysseae	Arabodae (IV)	Acuston		1159
S1148	Aethionema acarii	Brassicaceae	Aethionemeae		Aethionema	Holotype	1193
SRR4417633	Aethionema acarii	Brassicaceae	Aethionemeae		Aethionema		
S1136	Aethionema alanyae	Brassicaceae	Aethionemeae		Aethionema		1190
SRR4417634	Aethionema alanyae	Brassicaceae	Aethionemeae		Aethionema		109
S3554	Aethionema alpinum	Brassicaceae	Aethionemeae		Aethionema		1191
SRR11470323	Aethionema arabicum	Brassicaceae	Aethionemeae		Aethionema		973
SRR11470321	Aethionema arabicum	Brassicaceae	Aethionemeae		Aethionema		977
SRR11470324	Aethionema arabicum	Brassicaceae	Aethionemeae		Aethionema		1004
SRR4417656	Aethionema arabicum	Brassicaceae	Aethionemeae		Aethionema		1198
SRR11653854	Aethionema arabicum	Brassicaceae	Aethionemeae		Aethionema		111
ERR2990303	Aethionema arabicum	Brassicaceae	Aethionemeae		Aethionema		109
SRR2982720	Aethionema arabicum	Brassicaceae	Aethionemeae		Aethionema		
SRR9903473	Aethionema arabicum	Brassicaceae	Aethionemeae		Aethionema		
S0913	Aethionema armenum	Brassicaceae	Aethionemeae		Aethionema		563
SRR4417667	Aethionema armenum	Brassicaceae	Aethionemeae		Aethionema		1047
S1944	Aethionema balansae	Brassicaceae	Aethionemeae		Aethionema		1163
SRR4417642	Aethionema balansae	Brassicaceae	Aethionemeae		Aethionema		109
S2002	Aethionema capitatum	Brassicaceae	Aethionemeae		Aethionema		922
SRR4417678	Aethionema capitatum	Brassicaceae	Aethionemeae		Aethionema		641
S1105	Aethionema capitatum	Brassicaceae	Aethionemeae		Aethionema		
S3289	Aethionema carlsbergii	Brassicaceae	Aethionemeae		Aethionema		1198
S3498	Aethionema carlsbergii	Brassicaceae	Aethionemeae		Aethionema		1186
S1764	Aethionema carlsbergii	Brassicaceae	Aethionemeae		Aethionema		
S0818	Aethionema carneum	Brassicaceae	Aethionemeae		Aethionema		1040
SRR4417681	Aethionema carneum	Brassicaceae	Aethionemeae		Aethionema		14
SRR4417683	Aethionema cordatum	Brassicaceae	Aethionemeae		Aethionema		1167
S1132	Aethionema cordatum	Brassicaceae	Aethionemeae		Aethionema		1181
S0847	Aethionema coridifolium	Brassicaceae	Aethionemeae		Aethionema		1197
S1946	Aethionema demirizii	Brassicaceae	Aethionemeae		Aethionema		1170
S1184	Aethionema demirizii	Brassicaceae	Aethionemeae		Aethionema	Holotype	1117
SRR4417635	Aethionema demirizii	Brassicaceae	Aethionemeae		Aethionema		127
S1237	Aethionema diastrophis	Brassicaceae	Aethionemeae		Aethionema		1139
S1141	Aethionema dumanii	Brassicaceae	Aethionemeae		Aethionema		1132
SRR4417636	Aethionema dumanii	Brassicaceae	Aethionemeae		Aethionema		649
S1226	Aethionema edentulum	Brassicaceae	Aethionemeae		Aethionema		1166
SRR4417637	Aethionema edentulum	Brassicaceae	Aethionemeae		Aethionema		113
S0890	Aethionema erinaceum	Brassicaceae	Aethionemeae		Aethionema	Isotype	783
