SAMPLE	SPECIES_NAME_PRINT	FAMILY	TRIBE	SUPERTRIBE	GENUS	Type_status	loci_remaining
R0158.2	Rorippa hengduanshanensis	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		112
R0159.1	Rorippa hengduanshanensis	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		111
S4046	Rorippa hilariana	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1143
6896_B	Rorippa hilariana	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1204
6896_C	Rorippa hilariana	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1197
6896_K	Rorippa hybosperma	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		321
6896_M	Rorippa hybosperma	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1152
6896_O	Rorippa hybosperma	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		962
6896_P	Rorippa hybosperma	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		978
6896_L	Rorippa hybosperma	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1175
S4188	Rorippa icarica	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1212
23R41	Rorippa indica	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1131
SRR28996638	Rorippa indica	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		
SRR29121890	Rorippa indica	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		
S3845	Rorippa insularis	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1206
S2519	Rorippa intermedia	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		31
SRR1801302	Rorippa islandica	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1224
SRR1801303	Rorippa islandica	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1224
SRR11653904	Rorippa islandica	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		183
SRR1801301	Rorippa islandica	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1225
S3843	Rorippa islandica	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1197
ERR2990291	Rorippa islandica	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		113
6896_AH	Rorippa laciniata	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1116
6896_AN	Rorippa lippizensis	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		508
6896_AP	Rorippa madagascariensis	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1086
6896_AT	Rorippa madagascariensis	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1160
6896_BC	Rorippa madagascariensis	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		752
6896_BB	Rorippa madagascariensis	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1099
6896_AV	Rorippa madagascariensis	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		154
23Q89	Rorippa madagascariensis	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1135
6896_AU	Rorippa madagascariensis	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1200
6896_AS	Rorippa madagascariensis	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1201
6896_J	Rorippa madagascariensis	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		146
23Q90	Rorippa mandonii	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1135
S3002	Rorippa megasperma	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		690
6896_G	Rorippa mexicana	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1220
S3664	Rorippa mexicana	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1161
6896_H	Rorippa mexicana	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1204
6896_AX	Rorippa micrantha	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1219
6896_AI	Rorippa micrantha	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1218
23R48	Rorippa micrantha	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1127
6896_AW	Rorippa micrantha	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1219
S2543	Rorippa microtitis	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1175
S3077	Rorippa millefolia	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1168
23Q82	Rorippa nana	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1194
S3313	Rorippa neocaledonica	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		879
6896_AY	Rorippa nudiuscula	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1217
6896_AZ	Rorippa nudiuscula	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1212
6896_AB	Rorippa nudiuscula	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1212
23R54	Rorippa nudiuscula	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1170
SRR26700169	Rorippa palustris	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1150
ERR5555363	Rorippa palustris	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		112
S1886	Rorippa palustris	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1205
6896_AD	Rorippa peekelii	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		775
6896_AC	Rorippa peekelii	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1009
6896_AF	Rorippa peekelii	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		89
