ACCEPTED	FAMILY	SPECIES_NAME_PRINT	BIONOMIAL	SUBSP_VAR	SUBFAMILY	SUPERTRIBE	TRIBE_FULL	GENUS	GROWTH_FORM	WCVP_WGSRPD_LEVEL_1_native	WCVP_WGSRPD_LEVEL_2_native	WCVP_WGSRPD_LEVEL_3_native	Island_endemic	gbif_matchType	gbif_usageKey	checked_KasperH_if_not_ACCEPTED
Y	Brassicaceae	Cardamine glara	Cardamine glara		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	5	51	NZS	N	EXACT	10858818	
Y	Brassicaceae	Cardamine glauca	Cardamine glauca		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	1	13	ALB, BUL, GRC, ITA, ROM, SIC, YUG		EXACT	3045854	
Y	Brassicaceae	Cardamine glechomifolia	Cardamine glechomifolia		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	3	38	KOR		EXACT	3045716	
Y	Brassicaceae	Cardamine gouldii	Cardamine gouldii		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	4	40	EHM		EXACT	3045905	
Y	Brassicaceae	Cardamine gracilis	Cardamine gracilis		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	3, 4	36, 40	CHC, EHM		EXACT	3045838	
Y	Brassicaceae	Cardamine graeca	Cardamine graeca		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	1, 2, 3	12, 13, 14, 20, 34	ALB, BUL, COR, CYP, EAI, GRC, ITA, KRI, KRY, LBS, ROM, SIC, TUE, TUN, TUR, YUG		EXACT	3045803	
Y	Brassicaceae	Cardamine grandiscapa	Cardamine grandiscapa		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	5	51	NZS	N	EXACT	10791879	
Y	Brassicaceae	Cardamine granulifera	Cardamine granulifera		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	3	36	CHC		EXACT	3045749	
Y	Brassicaceae	Cardamine granulosa	Cardamine granulosa		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	1	13	ITA		EXACT	3045696	
Y	Brassicaceae	Cardamine griffithii	Cardamine griffithii		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	3, 4	36, 40	CHC, CHT, EHM, NEP		EXACT	3045675	
Y	Brassicaceae	Cardamine guatemalensis	Cardamine guatemalensis		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	8	80	GUA		EXACT	9122051	
Y	Brassicaceae	Cardamine gunnii	Cardamine gunnii		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	5	50	NSW, SOA, TAS, VIC		EXACT	3045656	
Y	Brassicaceae	Cardamine heleniae	Cardamine heleniae		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	5	51	NZS	N	EXACT	10766182	
Y	Brassicaceae	Cardamine heptaphylla	Cardamine heptaphylla		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	1	11, 12, 13	FRA, GER, ITA, SPA, SWI		EXACT	3045634	
Y	Brassicaceae	Cardamine hintonii	Cardamine hintonii		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H							
