ACCEPTED	FAMILY	SPECIES_NAME_PRINT	BIONOMIAL	SUBSP_VAR	SUBFAMILY	SUPERTRIBE	TRIBE_FULL	GENUS	GROWTH_FORM	WCVP_WGSRPD_LEVEL_1_native	WCVP_WGSRPD_LEVEL_2_native	WCVP_WGSRPD_LEVEL_3_native	Island_endemic	gbif_matchType	gbif_usageKey	checked_KasperH_if_not_ACCEPTED
Y	Brassicaceae	Draba laegaardii	Draba laegaardii		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	8	83	ECU		EXACT	9137014	
Y	Brassicaceae	Draba lanceolata	Draba lanceolata		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3, 4	30, 32, 34, 36, 37, 40	AFG, ALT, CHN, CHQ, CHT, CHX, EHM, KAZ, KGZ, MON, NEP, PAK, TKM, TZK, UZB, WHM		EXACT	3049640	
Y	Brassicaceae	Draba lapaziana	Draba lapaziana		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	8	83, 85	AGW, BOL, PER		EXACT	3049606	
Y	Brassicaceae	Draba lasiocarpa	Draba lasiocarpa		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	1	11, 13	ALB, AUT, BUL, CZE, GRC, HUN, YUG		EXACT	3049553	
Y	Brassicaceae	Draba lasiophylla	Draba lasiophylla		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3, 4	32, 36, 40	CHC, CHN, CHQ, CHT, CHX, EHM, KAZ, KGZ, NEP, TZK, UZB, WHM		EXACT	3049409	
Y	Brassicaceae	Draba lemmonii	Draba lemmonii		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	76	CAL		EXACT	3050306	
Y	Brassicaceae	Draba lichiangensis	Draba lichiangensis		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3, 4	36, 40	CHC, CHQ, CHT, EHM, NEP		EXACT	3050266	
Y	Brassicaceae	Draba lindenii	Draba lindenii		Brassicoideae	Arabodae (IV)	Arabideae	Draba	W	8	82	VEN		EXACT	3050249	
Y	Brassicaceae	Draba linearifolia	Draba linearifolia		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	36	CHT		EXACT	3050204	
N	Brassicaceae	Draba lipskyi	Draba lipskyi		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	32	KGZ		EXACT	3050179	
Y	Brassicaceae	Draba litamo	Draba litamo		Brassicoideae	Arabodae (IV)	Arabideae	Draba	W	8	83	CLM		EXACT	3050156	
Y	Brassicaceae	Draba loayzana	Draba loayzana		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	8	83, 85	AGW, BOL		EXACT	3050126	
Y	Brassicaceae	Draba loiseleurii	Draba loiseleurii		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	1	12	COR	Y	EXACT	3050006	
Y	Brassicaceae	Draba lonchocarpa	Draba lonchocarpa		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3, 7	30, 31, 70, 71, 73, 76	ABT, ASK, BRC, CAL, COL, IDA, KAM, KHA, MAG, MNT, NEV, NWT, ORE, UTA, WAS, WYO, YAK, YUK		EXACT	3049963	
Y	Brassicaceae	Draba longiciliata	Draba longiciliata		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	8	83	ECU		EXACT	7730356	
Y	Brassicaceae	Draba longisiliqua	Draba longisiliqua		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	33	NCS, TCS		EXACT	3049899	
Y	Brassicaceae	Draba longisquamosa	Draba longisquamosa		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	76	CAL		EXACT	3049884	
Y	Brassicaceae	Draba ludlowiana	Draba ludlowiana		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	4	40	EHM, NEP		EXACT	3049873	
Y	Brassicaceae	Draba lutescens	Draba lutescens		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	1, 2	12, 20	MOR, SPA		EXACT	3049843	
Y	Brassicaceae	Draba macbeathiana	Draba macbeathiana		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	4	40	NEP		EXACT	3049712	
Y	Brassicaceae	Draba macleanii	Draba macleanii		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	8	83, 85	AGW, BOL, CLN, PER		EXACT	3049819	
Y	Brassicaceae	Draba macounii	Draba macounii		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	70, 71, 73	ABT, ASK, BRC, MNT, YUK		EXACT	3049778	
Y	Brassicaceae	Draba macrocarpa	Draba macrocarpa		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	1, 3, 7	10, 14, 30, 31, 70, 71	ASK, BRC, GNL, KAM, KRA, MAG, NUN, NWT, RUN, SVA, WSB, YAK, YUK		EXACT	3050167	
Y	Brassicaceae	Draba macrosperma	Draba macrosperma		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	1, 2, 3, 4	10, 11, 12, 13, 14, 20, 24, 32, 33, 34, 35, 40	AFG, ALB, ALG, AUT, BGM, BLR, BLT, BUL, COR, CZE, DEN, EAI, ETH, FIN, FRA, GER, GRB, GRC, HUN, ICE, IRE, IRN, IRQ, ITA, KAZ, KGZ, KRI, KRY, LBS, MOR, NCS, NET, NOR, OMA, PAK, PAL, POL, POR, ROM, RUC, RUE, RUN, RUS, RUW, SAR, SIC, SPA, SWE, SWI, TCS, TKM, TUE, TUN, TUR, TZK, UKR, UZB, WHM, YUG		EXACT	11080492	
Y	Brassicaceae	Draba magadanensis	Draba magadanensis		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	31	MAG		EXACT	3049752	
Y	Brassicaceae	Draba magellanica	Draba magellanica		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	8, 9	85, 90	AGS, AGW, CLS, FAL		EXACT	3049702	
Y	Brassicaceae	Draba maguirei	Draba maguirei		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	76	UTA		EXACT	3049632	
Y	Brassicaceae	Draba majae	Draba majae		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	31	MAG		EXACT	3049596	
Y	Brassicaceae	Draba majuscula	Draba majuscula		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	1	11, 12	AUT, FRA, GER, NET		EXACT	8202699	
Y	Brassicaceae	Draba malpighiacea	Draba malpighiacea		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	73	COL		EXACT	3687437	
Y	Brassicaceae	Draba matangensis	Draba matangensis		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	36	CHC, CHT		EXACT	3049548	
Y	Brassicaceae	Draba matthioloides	Draba matthioloides		Brassicoideae	Arabodae (IV)	Arabideae	Draba	W	8	83	PER		EXACT	3049451	
Y	Brassicaceae	Draba matthioloides subsp. matthioloides	Draba matthioloides	subsp. matthioloides	Brassicoideae	Arabodae (IV)	Arabideae	Draba	W			NA		EXACT	7225648	
Y	Brassicaceae	Draba matthioloides subsp. saundersii	Draba matthioloides	subsp. saundersii	Brassicoideae	Arabodae (IV)	Arabideae	Draba	W			NA		EXACT	3049452	
Y	Brassicaceae	Draba melanopus	Draba melanopus		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3, 4	32, 34, 36, 40	AFG, CHX, KAZ, KGZ, PAK, TZK, UZB, WHM		EXACT	3050293	
Y	Brassicaceae	Draba meskhetica	Draba meskhetica		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	33	TCS		EXACT	3050263	
Y	Brassicaceae	Draba metaarctica	Draba metaarctica		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	31	MAG		EXACT	10829557	
Y	Brassicaceae	Draba micropetala	Draba micropetala		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	1, 3, 7	10, 30, 31, 70	ASK, GNL, MAG, NUN, NWT, SVA, WSB, YAK		EXACT	3050148	
Y	Brassicaceae	Draba mieheorum	Draba mieheorum		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	36	CHT		EXACT	3050191	
Y	Brassicaceae	Draba mingrelica	Draba mingrelica		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	33	TCS		EXACT	3050121	
Y	Brassicaceae	Draba minima	Draba minima		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	1, 3	13, 32, 33, 34	CYP, GRC, IRN, IRQ, LBS, PAL, TCS, TUR, TZK, UZB		EXACT	3049876	
Y	Brassicaceae	Draba mogollonica	Draba mogollonica		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	76, 77	ARI, NWM		EXACT	3050088	
Y	Brassicaceae	Draba mollissima	Draba mollissima		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	33	NCS, TCS		EXACT	3050000	
Y	Brassicaceae	Draba mongolica	Draba mongolica		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	30, 31, 36, 37, 38	ALT, AMU, BRY, CHC, CHM, CHN, CHQ, CHX, CTA, IRK, KHA, KOR, MON, PRM, TVA		EXACT	3049921	
Y	Brassicaceae	Draba monoensis	Draba monoensis		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	76	CAL		EXACT	3049888	
Y	Brassicaceae	Draba montbretiana	Draba montbretiana		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	34	TUR		EXACT	3049862	
Y	Brassicaceae	Draba mulliganii	Draba mulliganii		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	70	ASK, YUK		EXACT	3049789	
Y	Brassicaceae	Draba murrayi	Draba murrayi		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	70	ASK, YUK		EXACT	3049815	
Y	Brassicaceae	Draba nana	Draba nana		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	34	TUR		EXACT	3049737	
Y	Brassicaceae	Draba narmanensis	Draba narmanensis		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	34	TUR		EXACT	10695436	
Y	Brassicaceae	Draba nemorosa	Draba nemorosa		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	1, 3, 4, 7	10, 11, 12, 13, 14, 30, 31, 32, 33, 34, 36, 37, 38, 40, 70, 71, 72, 73, 74, 75, 76, 77	ABT, AFG, ALT, AMU, ASK, AUT, BLR, BLT, BRC, BRY, CAL, CHC, CHI, CHM, CHN, CHQ, CHS, CHT, CHX, COL, CTA, CZE, FIN, FRA, HUN, IDA, ILL, IOW, IRK, IRN, ITA, JAP, KAM, KAZ, KGZ, KHA, KOR, KRA, KRY, MAG, MAN, MIC, MIN, MNT, MON, NCS, NDA, NEB, NEV, NUN, NWM, NWT, ONT, ORE, POL, PRM, QUE, ROM, RUC, RUE, RUN, RUS, RUW, SAS, SDA, SPA, SWE, SWI, TCS, TEX, TKM, TUR, TVA, TZK, UKR, UTA, UZB, WAS, WHM, WIS, WSB, WYO, YAK, YUG, YUK		EXACT	3049685	
Y	Brassicaceae	Draba nipponica	Draba nipponica		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	38	JAP, KOR		EXACT	3049656	
Y	Brassicaceae	Draba nivalis	Draba nivalis		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	1, 3, 7	10, 14, 30, 31, 70, 71, 72	ABT, ALU, ASK, BRC, BRY, CTA, FIN, GNL, ICE, KAM, KRA, LAB, MAG, MAN, NFL, NOR, NUN, NWT, ONT, QUE, RUN, SVA, SWE, WSB, YUK		EXACT	3049612	
Y	Brassicaceae	Draba nivicola	Draba nivicola		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	79	MXC, MXG		EXACT	3049587	
Y	Brassicaceae	Draba norvegica	Draba norvegica		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	1, 3, 7	10, 11, 14, 30, 70, 72	AUT, FIN, FOR, GNL, GRB, ICE, LAB, NFL, NOR, NSC, NWT, QUE, RUN, SVA, SWE, WSB		EXACT	3049482	
Y	Brassicaceae	Draba novolympica	Draba novolympica		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	70, 71, 73, 76	ABT, ASK, BRC, CAL, IDA, MNT, NEV, ORE, UTA, WAS, WYO, YUK		EXACT	3050197	
Y	Brassicaceae	Draba nuda	Draba nuda		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	1, 3, 4	13, 32, 33, 34, 36, 40	AFG, CHX, IRN, IRQ, KAZ, KGZ, KRI, LBS, PAK, TCS, TKM, TUR, TZK, UZB, WHM		EXACT	3050127	
Y	Brassicaceae	Draba nylamensis	Draba nylamensis		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	36	CHT		EXACT	3049756	
Y	Brassicaceae	Draba oariocarpa	Draba oariocarpa		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	4	40	EHM, NEP		EXACT	3049445	
Y	Brassicaceae	Draba oblongata	Draba oblongata		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3, 7	30, 31, 70, 72	ASK, GNL, KRA, MAG, NUN, NWT, QUE, WSB, YAK		EXACT	3049427	
Y	Brassicaceae	Draba obovata	Draba obovata		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	8	83	ECU		EXACT	3049397	
Y	Brassicaceae	Draba ochroleuca	Draba ochroleuca		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	1, 3	14, 30, 31, 32, 37	ALT, BRY, CTA, IRK, KAM, KAZ, KGZ, KRA, MAG, MON, RUN, TVA, YAK		EXACT	3050257	
Y	Brassicaceae	Draba ochropetala	Draba ochropetala		Brassicoideae	Arabodae (IV)	Arabideae	Draba	W	8	83	PER		EXACT	3050220	
?	Brassicaceae	Draba odudiana	Draba odudiana		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	32	TZK		EXACT	3050194	
Y	Brassicaceae	Draba ogilviensis	Draba ogilviensis		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	70	ASK, NWT, YUK		EXACT	3050162	
Y	Brassicaceae	Draba okamotoi	Draba okamotoi		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H			NA	N	EXACT	3050142	
Y	Brassicaceae	Draba olgae	Draba olgae		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3, 4	32, 36, 40	CHX, KGZ, PAK, TZK, WHM		EXACT	3050111	
Y	Brassicaceae	Draba oligosperma	Draba oligosperma		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	70, 71, 73, 76	ABT, ASK, BRC, CAL, COL, IDA, MNT, NEV, NUN, NWT, ORE, WYO, YUK		EXACT	3049989	
Y	Brassicaceae	Draba oreades	Draba oreades		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3, 4	30, 32, 36, 37, 40	ALT, CHC, CHI, CHN, CHQ, CHT, CHX, EHM, IRK, KAZ, KGZ, KRA, MON, NEP, PAK, TVA, TZK, WHM		EXACT	3049933	
Y	Brassicaceae	Draba oreadum	Draba oreadum		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	2	20	MOR		EXACT	3049905	
Y	Brassicaceae	Draba oreadum subsp. mariae-aliciae	Draba oreadum	subsp. mariae-aliciae	Brassicoideae	Arabodae (IV)	Arabideae	Draba	?			NA		EXACT	3049910	
Y	Brassicaceae	Draba oreadum subsp. oreadum	Draba oreadum	subsp. oreadum	Brassicoideae	Arabodae (IV)	Arabideae	Draba	?			NA		EXACT	7068726	
Y	Brassicaceae	Draba oreibata	Draba oreibata		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	73	IDA		EXACT	3049794	
Y	Brassicaceae	Draba oreodoxa	Draba oreodoxa		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	36	CHC		EXACT	3049766	
Y	Brassicaceae	Draba orientalis	Draba orientalis		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	34	TUR		EXACT	7487204	
Y	Brassicaceae	Draba ossetica	Draba ossetica		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	33	NCS, TCS		EXACT	3049725	
Y	Brassicaceae	Draba oxycarpa	Draba oxycarpa		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	1, 7	10, 70	GNL, ICE, NOR, SVA, SWE		EXACT	3049679	
Y	Brassicaceae	Draba pacheri	Draba pacheri		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	1	11	AUT, CZE		EXACT	3049646	
Y	Brassicaceae	Draba pachythyrsa	Draba pachythyrsa		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	8	83	CLM		EXACT	3049569	
Y	Brassicaceae	Draba palanderiana	Draba palanderiana		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3, 7	30, 31, 70, 71	ASK, BRC, MAG, NWT, YAK, YUK		EXACT	3049508	
Y	Brassicaceae	Draba pamirica	Draba pamirica		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	32	TZK		EXACT	3049983	
Y	Brassicaceae	Draba pamplonensis	Draba pamplonensis		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	8	83	CLM		EXACT	3049439	
Y	Brassicaceae	Draba parnassica	Draba parnassica		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	1	13	ALB, GRC		EXACT	3049413	
Y	Brassicaceae	Draba parviflora	Draba parviflora		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	32, 36	CHN, CHQ, CHX, KAZ, KGZ, TZK		EXACT	3050309	
Y	Brassicaceae	Draba pauciflora	Draba pauciflora		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	1, 3, 7	10, 14, 30, 31, 70	ASK, GNL, KRA, MAG, NUN, NWT, RUN, SVA, WSB, YAK		EXACT	3050272	
Y	Brassicaceae	Draba paucifructa	Draba paucifructa		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	76	NEV		EXACT	3050254	
Y	Brassicaceae	Draba paysonii	Draba paysonii		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	71, 73	ABT, MNT, WYO		EXACT	3050208	
Y	Brassicaceae	Draba pectinipila	Draba pectinipila		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	73, 76	COL, MNT, UTA, WYO		EXACT	3049448	
Y	Brassicaceae	Draba pedicellata	Draba pedicellata		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	76	NEV, UTA		EXACT	3049996	
Y	Brassicaceae	Draba pennell-hazenii	Draba pennell-hazenii		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	8	83	CLM		EXACT	3050189	
Y	Brassicaceae	Draba pennellii	Draba pennellii		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	76	NEV		EXACT	3050157	
Y	Brassicaceae	Draba peruviana	Draba peruviana		Brassicoideae	Arabodae (IV)	Arabideae	Draba	W	8	83	PER		EXACT	3050098	
Y	Brassicaceae	Draba petrophila	Draba petrophila		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	76	ARI		EXACT	3049970	
Y	Brassicaceae	Draba physocarpa	Draba physocarpa		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	32	KGZ, TZK		EXACT	3049930	
Y	Brassicaceae	Draba pickeringii	Draba pickeringii		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	8	83	PER		EXACT	3049901	
Y	Brassicaceae	Draba pilosa	Draba pilosa		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3, 7	30, 31, 70	ASK, KRA, MAG, NUN, NWT, YAK, YUK		EXACT	3049875	
Y	Brassicaceae	Draba podolica	Draba podolica		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	1	13, 14	ROM, RUC, RUE, RUN, RUS, UKR		EXACT	10998568	
Y	Brassicaceae	Draba pohlei	Draba pohlei		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	30	KRA, YAK		EXACT	3049823	
Y	Brassicaceae	Draba poluniniana	Draba poluniniana		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	4	40	NEP		EXACT	3050139	
Y	Brassicaceae	Draba polyphylla	Draba polyphylla		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3, 4	36, 40	CHC, CHT, EHM, NEP		EXACT	3049787	
Y	Brassicaceae	Draba polytricha	Draba polytricha		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	33, 34	TCS, TUR		EXACT	3049754	
Y	Brassicaceae	Draba porsildii	Draba porsildii		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	70, 71, 73	ABT, ASK, BRC, COL, MNT, NWT, WYO, YUK		EXACT	3049708	
Y	Brassicaceae	Draba praealta	Draba praealta		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	70, 71, 73, 76	ABT, BRC, CAL, IDA, MNT, NEV, NWT, ORE, WAS, WYO, YUK		EXACT	3049599	
Y	Brassicaceae	Draba praecox	Draba praecox		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	1, 2, 3	10, 11, 12, 13, 14, 20, 33, 34	ALB, ALG, AUT, BAL, BGM, BUL, COR, CYP, DEN, EAI, FRA, GRB, GRC, HUN, IRE, ITA, KRY, LBS, LBY, MOR, NCS, NET, PAL, ROM, SAR, SIC, SPA, SWE, SWI, TCS, TUE, TUN, TUR, YUG		EXACT	3050064	
Y	Brassicaceae	Draba prozorovskii	Draba prozorovskii		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	1, 3, 7	10, 14, 30, 31, 32, 37, 70	ALT, AMU, BRY, FIN, GNL, ICE, KAM, KAZ, KHA, KRA, MAG, MON, NOR, RUE, RUN, SVA, SWE, TVA, WSB, YAK		EXACT	3049499	
Y	Brassicaceae	Draba pseudocheiranthoides	Draba pseudocheiranthoides		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	8	83	CLM		EXACT	3049463	
Y	Brassicaceae	Draba pterosperma	Draba pterosperma		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	76	CAL		EXACT	3049405	
Y	Brassicaceae	Draba pulchella	Draba pulchella		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	34	IRN, IRQ		EXACT	3050294	
Y	Brassicaceae	Draba pulcherrima	Draba pulcherrima		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	8	83	ECU		EXACT	3050264	
Y	Brassicaceae	Draba pulvinata	Draba pulvinata		Brassicoideae	Arabodae (IV)	Arabideae	Draba	W	8	82	VEN		EXACT	3050227	
Y	Brassicaceae	Draba pulvinata subsp. berryi	Draba pulvinata	subsp. berryi	Brassicoideae	Arabodae (IV)	Arabideae	Draba	W			NA		EXACT	3050228	
Y	Brassicaceae	Draba pulvinata subsp. pulvinata	Draba pulvinata	subsp. pulvinata	Brassicoideae	Arabodae (IV)	Arabideae	Draba	W			NA		EXACT	7068729	
Y	Brassicaceae	Draba punoensis	Draba punoensis		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	8	83	PER		EXACT	10822007	
Y	Brassicaceae	Draba pusilla	Draba pusilla		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	8	85	AGS, AGW, CLC, CLS		EXACT	3050089	
Y	Brassicaceae	Draba puvirnituqii	Draba puvirnituqii		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	72	QUE		EXACT	8002167	
Y	Brassicaceae	Draba pycnophylla	Draba pycnophylla		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	8	83	CLM, ECU		EXACT	3050001	
Y	Brassicaceae	Draba pycnosperma	Draba pycnosperma		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	72	QUE		EXACT	3050243	
Y	Brassicaceae	Draba pygmaea	Draba pygmaea		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	30, 37	BRY, KRA, MON, TVA		EXACT	3049952	
Y	Brassicaceae	Draba quearaensis	Draba quearaensis		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	8	83	BOL		EXACT	10863473	
Y	Brassicaceae	Draba radicans	Draba radicans		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	4	40	NEP, WHM		EXACT	3049924	
Y	Brassicaceae	Draba ramosissima	Draba ramosissima		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	75, 78	KTY, MRY, NCA, TEN, VRG, WDC, WVA		EXACT	3049891	
Y	Brassicaceae	Draba ramulosa	Draba ramulosa		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	76	UTA		EXACT	3049866	
Y	Brassicaceae	Draba rectifructa	Draba rectifructa		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	73, 76, 77	ARI, COL, NWM, UTA		EXACT	3049841	
Y	Brassicaceae	Draba remotiflora	Draba remotiflora		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	36	CHC		EXACT	3049817	
Y	Brassicaceae	Draba rigida	Draba rigida		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	34	TUR		EXACT	3049617	
Y	Brassicaceae	Draba rimarum	Draba rimarum		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H							
Y	Brassicaceae	Draba ritacuvana	Draba ritacuvana		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	8	83	CLM		EXACT	3049590	
Y	Brassicaceae	Draba rositae	Draba rositae		Brassicoideae	Arabodae (IV)	Arabideae	Draba	W	8	83	CLM		EXACT	3049528	
Y	Brassicaceae	Draba rosularis	Draba rosularis		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	32, 34	IRN, KGZ, TUR, TZK, UZB		EXACT	3049495	
Y	Brassicaceae	Draba ruaxes	Draba ruaxes		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	70, 71, 73	ABT, ASK, BRC, WAS, YUK		EXACT	3049447	
Y	Brassicaceae	Draba sachalinensis	Draba sachalinensis		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	31, 38	JAP, SAK		EXACT	3049399	
Y	Brassicaceae	Draba sagasteguii	Draba sagasteguii		Brassicoideae	Arabodae (IV)	Arabideae	Draba	W	8	83	PER		EXACT	3050160	
Y	Brassicaceae	Draba sakuraii	Draba sakuraii		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	38	JAP, KOR		EXACT	3050258	
Y	Brassicaceae	Draba sambukii	Draba sambukii		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	30	KRA		EXACT	3050222	
Y	Brassicaceae	Draba sanctae-martae	Draba sanctae-martae		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	8	83	CLM		EXACT	3050195	
Y	Brassicaceae	Draba santaquinensis	Draba santaquinensis		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	76	UTA		EXACT	3050253	
Y	Brassicaceae	Draba sarycheleki	Draba sarycheleki		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	32	KGZ		EXACT	3692232	
Y	Brassicaceae	Draba sauteri	Draba sauteri		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	1	11	AUT, GER		EXACT	3050144	
Y	Brassicaceae	Draba saxosa	Draba saxosa		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	76	CAL		EXACT	3049440	
Y	Brassicaceae	Draba scabra	Draba scabra		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	3	33	NCS, TCS		EXACT	3050117	
Y	Brassicaceae	Draba schultzei	Draba schultzei		Brassicoideae	Arabodae (IV)	Arabideae	Draba	W	8	83	CLM		EXACT	3050015	
Y	Brassicaceae	Draba schusteri	Draba schusteri		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	8	83	ECU, PER		EXACT	3049994	
Y	Brassicaceae	Draba scopulorum	Draba scopulorum		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	8	83	BOL, PER		EXACT	3049945	
Y	Brassicaceae	Draba scotteri	Draba scotteri		Brassicoideae	Arabodae (IV)	Arabideae	Draba	H	7	70	YUK		EXACT	3049917	
