parent,node,branch.length,label,CI_date,CI_height,date,q1,pp1,gCF,sCF,isTip,age_Ma,q1_num,pp1_num,gCF_num,sCF_num
3805,3809,1.40653,NA,,,-3.66618,0.670819,1,28,59.7,FALSE,3.66633699999997,0.670819,1,28,59.7
3809,3810,0.689575,NA,,,-2.97661,0.464515,1,18.9,42.7,FALSE,2.9767619999999653,0.464515,1,18.9,42.7
3810,3811,1.21015,NA,,,-1.76645,0.602283,1,27.5,58.9,FALSE,1.7666119999999665,0.602283,1,27.5,58.9
3581,3812,1.11477,NA,,,-14.8302,0.501333,1,17.1,41.3,FALSE,14.83037699999997,0.501333,1,17.1,41.3
3812,3813,5.83276,NA,,,-8.99747,0.896815,1,65,74.1,FALSE,8.997616999999963,0.896815,1,65,74.1
3813,3814,3.45046,NA,,,-5.54701,0.775995,1,46.1,72.2,FALSE,5.547156999999956,0.775995,1,46.1,72.2
3814,3815,0.393789,NA,,,-5.15322,0.372709,0.944085,6.84,30.2,FALSE,5.153367999999958,0.372709,0.944085,6.84,30.2
3815,3816,0.830332,NA,,,-4.32289,0.394351,0.890108,3.8,52.1,FALSE,4.323035999999959,0.394351,0.890108,3.8,52.1
3816,3817,0.739641,NA,,,-3.58324,0.415807,0.99997,8.11,32.7,FALSE,3.5833949999999533,0.415807,0.99997,8.11,32.7
3817,3818,0.556746,NA,,,-3.0265,0.38153,0.539716,9.46,43.3,FALSE,3.0266489999999493,0.38153,0.539716,9.46,43.3
3816,3819,1.89216,NA,,,-2.43072,0.665351,1,35.4,63.5,FALSE,2.430875999999955,0.665351,1,35.4,63.5
3814,3820,3.24664,NA,,,-2.30037,0.508435,1,6.83,52.4,FALSE,2.3005169999999566,0.508435,1,6.83,52.4
3578,3821,4.57032,NA,,,-11.4047,0.674837,1,26,60.9,FALSE,11.404826999999997,0.674837,1,26,60.9
3821,3822,7.61345,NA,,,-3.79123,0.427849,0.999766,14.1,39.5,FALSE,3.791376999999997,0.427849,0.999766,14.1,39.5
3822,3823,0.524653,NA,,,-3.26657,0.858643,1,61.4,80.9,FALSE,3.2667239999999964,0.858643,1,61.4,80.9
3822,3824,0.563747,NA,,,-3.22748,0.396567,0.987717,15.4,38.3,FALSE,3.2276299999999907,0.396567,0.987717,15.4,38.3
3386,3825,7.6707,NA,,,-8.5165,0.952397,1,78.5,76.2,FALSE,8.516649000000001,0.952397,1,78.5,76.2
3825,3826,1.71624,NA,,,-6.80026,0.671438,1,36.1,52.5,FALSE,6.800409000000002,0.671438,1,36.1,52.5
3826,3827,0.63274,NA,,,-6.16752,0.446992,1,19.8,37.7,FALSE,6.167669000000004,0.446992,1,19.8,37.7
3827,3828,1.0187,NA,,,-5.14882,0.720367,1,39.7,52.5,FALSE,5.148969000000008,0.720367,1,39.7,52.5
3826,3829,1.78623,NA,,,-5.01403,0.643406,1,38.1,48.1,FALSE,5.014178999999999,0.643406,1,38.1,48.1
3384,3830,2.27364,NA,,,-17.4232,0.538334,1,18,41.3,FALSE,17.423304,0.538334,1,18,41.3
3830,3831,3.47322,NA,,,-13.9499,0.925576,1,57.1,69.7,FALSE,13.950084000000004,0.925576,1,57.1,69.7
3831,3832,0.01,NA,,,-13.9399,0.431739,1,9.86,31.6,FALSE,13.940083999999999,0.431739,1,9.86,31.6
3832,3833,0.01,NA,,,-13.9299,0.4121,0.995412,24.6,39.7,FALSE,13.930083999999994,0.4121,0.995412,24.6,39.7
3833,3834,8.32125,NA,,,-5.60867,0.946862,1,76.5,82.8,FALSE,5.608834000000002,0.946862,1,76.5,82.8
3834,3835,0.744363,NA,,,-4.86431,0.540559,1,10.3,68,FALSE,4.864470999999995,0.540559,1,10.3,68
3835,3836,1.23616,NA,,,-3.62815,0.662895,1,35,55,FALSE,3.6283109999999965,0.662895,1,35,55
3836,3837,2.76743,NA,,,-0.860724,0.430393,1,18.6,42.9,FALSE,0.860880999999992,0.430393,1,18.6,42.9
3835,3838,1.49074,NA,,,-3.37358,0.665825,1,31,50.1,FALSE,3.3737309999999923,0.665825,1,31,50.1
3838,3839,0.602165,NA,,,-2.77141,0.395227,0.970181,10.8,59.7,FALSE,2.771565999999993,0.395227,0.970181,10.8,59.7
3839,3840,1.24869,NA,,,-1.52272,0.343064,0.182977,3.35,33.3,FALSE,1.5228759999999966,0.343064,0.182977,3.35,33.3
3833,3841,0.267883,NA,,,-13.662,0.913272,1,78.2,79.5,FALSE,13.662200999999996,0.913272,1,78.2,79.5
3841,3842,2.53995,NA,,,-11.1221,0.68664,1,35.3,48.8,FALSE,11.122250999999991,0.68664,1,35.3,48.8
3842,3843,6.07498,NA,,,-5.04712,0.93934,1,81.6,78.4,FALSE,5.047270999999995,0.93934,1,81.6,78.4
3843,3844,1.12989,NA,,,-3.91723,0.538487,1,13.4,38.4,FALSE,3.917380999999992,0.538487,1,13.4,38.4
3841,3845,0.417284,NA,,,-13.2448,0.423501,0.99672,17,33.5,FALSE,13.244917000000001,0.423501,0.99672,17,33.5
3845,3846,4.10209,NA,,,-9.14267,0.980023,1,96.3,94.3,FALSE,9.142826999999997,0.980023,1,96.3,94.3
3846,3847,8.94958,NA,,,-0.193095,0.943118,1,85.8,66.1,FALSE,0.1932469999999995,0.943118,1,85.8,66.1
3846,3848,8.11582,NA,,,-1.02685,0.995693,1,98.8,99,FALSE,1.0270069999999976,0.995693,1,98.8,99
3845,3849,7.66466,NA,,,-5.5801,0.941571,1,85,81.8,FALSE,5.580257000000003,0.941571,1,85,81.8
3849,3850,4.29061,NA,,,-1.28949,0.931942,1,68.1,87.3,FALSE,1.2896470000000022,0.931942,1,68.1,87.3
