rank,clade,node,n_focal_tips,n_total_tips,fraction,focal_samples,component_id,plot_label,plot_this
TRIBE,Euclidieae,5735,129,129,1,S4166; S2591; S3451; S2604; S0478; S0680; S1939; S0327; S1241; S1970; S2959; S2971; S0407; S1691; S1475; S3900; S2753; S3898; S3496; S4031; S2719; S2478; S2419; S4359; S0963; S1882; S2423; S4250; S2417; S2922; S3818; S4017; S2163; S4206; S2064; S4078; S2484; S2626; S0645; S4366; S2149; S3959; S2253; S3730; S0289; S0320; S1451; S0299; S3326; S3794; S3916; S2219; S2489; S2618; S2688; S2667; S2644; S3737; S4282; S2541; S3585; S2697; S2164; S2159; S4085; S4154; S3957; S1230; S2131; S0624; S0278; S4241; S2670; S1251; S2444; S4368; SRR8528347; S0421; S2695; S2712; S4162; S4157; S2705; S3955; S2550; S0424; S1977; S1365; S2474; S0480; S1240; S0479; S2701; S0426; S3227; S4106; S4185; S2996; S3006; S2999; S2505; S2986; S2528; S2511; S1875; S3154; S0951; S2563; S1958; S3012; S3136; S3514; S3519; S3097; S3420; S3148; S1960; S4373; S2515; S2226; S4172; S4180; S1239; S0417; S1474; S3016; S1232; S1368; S0428,1,Euclidieae,TRUE
TRIBE,Eudemeae,3214,26,26,1,S1708; S2463; S0277; SRR8528367; S4111; S4133; S1043; S1804; S2939; S1805; S2968; S4076; S1038; S4135; S3042; S1803; S4168; S3121; S1794; S2132; S1795; S1488; S1797; S1090; S1045; S3896,1,Eudemeae,TRUE
TRIBE,Halimolobeae,4115,5,5,1,S0643; S1370; S0405; S1278; S1279,1,Halimolobeae,TRUE
TRIBE,Heliophileae,3113,98,98,1,S1281; S1283; S0880; S0486; S0577; S2433; S0815; S0882; S0485; S0774; S0481; S1434; S0881; S2953; S0887; S0789; S1213; S0883; S0619; S0310; S0829; S0778; S1280; S1069; S3051; S0884; S1663; S1638; S2148; S2152; S1766; S1714; S0686; S3712; S1653; S2465; S1998; S2448; S2507; S2057; S0681; S1658; S3803; S0797; S0823; S1643; S3098; S1660; S1645; S1648; S0687; S1664; S2998; S1644; S0578; S2974; S3044; S1661; S0682; S0816; S1655; S1647; S2424; S2421; S1654; S2150; S2481; S2525; S2957; S1504; S2949; S0775; S0876; S0877; S0875; S3116; S1282; S1313; S0831; S2151; S0833; S3574; S1652; S1657; S2451; S1686; S2066; S0832; S2418; S0892; S0683; S1651; S1662; S1646; S1659; S3572; S0807; S1715,1,Heliophileae,TRUE
TRIBE,Iberideae,3354,25,25,1,S0490; S2315; S1354; S3534; S1933; S4003; SRR1801359; S2254; S1934; S3406; S1936; S1935; S0488; S3929; S4268; S1937; S0487; S2788; S2245; S3792; SRR8528374; S0491; S3466; S2081; S0799,1,Iberideae,TRUE
TRIBE,Iberideae_II,3278,3,3,1,S4278; S0420; S1341,1,Iberideae_II,TRUE
TRIBE,Isatideae,3825,6,6,1,SRR8528365; S0280; S2845; S2847; SRR8528380; S4202,1,Isatideae,TRUE
TRIBE,Kernereae,3972,3,3,1,SRR8528400; SRR8528379; S0906,1,Kernereae,TRUE
TRIBE,Lepidieae,4588,240,240,1,S0507; S1856; S1829; S0581; S1729; S1828; S3129; S1784; S1843; S1750; S1739; S1782; S1848; S0499; S0494; S2983; S1931; 24P89; S4002; S1846; S2965; S1833; S2095; S1753; S1517; S3419; S1858; S1783; S1197; S1771; S1927; S1561; S1825; S0886; S3360; S1790; S0819; S1840; S1821; S1838; S3539; S0822; S1820; S1454; S4336; S1841; S3373; S1850; S1749; S0408; S1924; S0388; S2843; S1788; S3080; S4190; S1010; S3103; S2136; S1847; S0409; S1723; S1751; S3573; S2512; S0628; S3490; S0565; S3614; S0840; S0861; S1773; S1851; S2145; S1826; S1115; S1785; S1834; S1961; SRR1631197; S1808; S3331; S1824; S1306; S1861; S1860; S2244; S1786; S1928; S1822; S1835; S4343; S1930; S0547; S1122; S1857; S2167; S1787; S1440; S0588; S0779; S1811; S1844; S0910; S0908; S1014; S0495; S1926; S1780; S1929; S0824; S1855; S1774; S3992; S4102; S4074; S2146; S1748; S1741; S1842; S1813; S1823; S0825; S1754; S1744; S0973; S4196; S3173; S0410; S1009; S1448; S1923; S1271; S1731; S1740; S2144; S2739; S0783; S0502; S2902; S3167; S2760; S3164; S0497; S1772; S0782; S2896; S2899; S3170; S1859; S2137; S1747; S2138; S1779; 23R64; S3537; S0820; S2682; S1849; S1775; S1776; S1181; S1819; S0716; S2576; S2614; S1812; S3823; S1781; S1853; S1827; S2646; S2629; S2623; S2692; S1289; S0609; S1816; S0374; S1520; S0806; S2249; S1755; S3939; S1760; S0801; S0591; S1777; S1852; S1818; SRR11653891; S1836; S1814; S0389; S0907; S1839; S1752; S2502; S2099; S4042; S0554; S1922; S1728; S1727; S0575; S1837; S0804; S1854; S2708; S1932; S4334; S1778; S2596; S2640; S2691; S2634; S0909; 24P95; S1817; S1831; S2606; S4116; S1334; S2504; S0821; S0504; S0796; S0496; S0503; S2839; S0781; S1562; S1023; S0506; S0787; S0996; S1022; S0948; S0501; S1024,1,Lepidieae,TRUE
TRIBE,Microlepidieae,4128,55,55,1,S3175; S1575; S2901; S1400; S2764; S3165; S2904; S0435; S0411; S1957; S3185; S0947; S3187; S2759; S2740; S2230; S3183; S2895; S2227; S2842; S2237; S2838; S1424; S2755; S1885; S0375; S2221; S0285; S0741; S0946; S0306; S2032; S2893; S0895; S1463; S0728; SRR8528342; S0949; S2738; S1116; S0630; S4004; S2036; S2746; S0896; S1033; S0784; S0509; S0994; S2093; SRR15362839; S2844; S2073; S0941; S2840,1,Microlepidieae,TRUE
TRIBE,Physarieae,4190,124,124,1,S3857; S2470; S2732; S1171; S2439; S0287; S1080; S0764; S1274; S2475; S2735; S1066; S1061; S0300; S2196; S0294; S3865; S0903; S2466; S2198; S2201; S2200; S2459; S1052; S2452; S2487; S2530; S4080; S3089; S3977; S4066; 24P87; S2305; S2446; S2517; S2535; S3064; S2940; S3020; S3975; S3030; S3124; S3056; S2283; S2907; S2233; S2288; S2508; 23R37; S4012; S3013; S2527; S2944; S3083; S2928; S2905; S2573; S3106; S3152; S3111; S2411; S3161; S2432; S0383; S2741; 23R61; S2405; S2408; S2420; S2935; S3146; S3754; 23R47; S2092; S2090; S3025; S3067; S2309; S2426; S3099; S3107; S4087; S2239; S3007; S2107; S2154; S3934; S2454; S3094; S3117; S3086; S3076; S3134; S3036; S2521; S2932; S3137; S3330; S2086; S2566; S3070; 23R52; 23R45; S3140; S2921; S2909; S4110; S2524; S2241; S3979; S2247; S2915; S2729; S3073; S3156; S3130; S3143; SRR8528362; S2413; S3039; S2088; S4072; S2301; S0723,1,Physarieae,TRUE
TRIBE,Schizopetaleae,3258,16,17,0.9411764705882353,S1798; S3060; S1089; S0915; S1065; S1166; S1088; S2416; S1091; S2238; S4118; S2410; S4068; S4145; S2231; SRR8528397,1,Schizopetaleae,TRUE
TRIBE,Sisymbrieae,3573,5,5,1,S1332; S0345; SRR11470309; SRR8528398; SRR8528361,1,Sisymbrieae,TRUE
TRIBE,Stevenieae,5061,9,9,1,S3096; S0722; S1068; S1254; S0792; S0794; S0793; S1252; S0717,1,Stevenieae,TRUE
